,Opp,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
03/12/2022,WAS,W,240,127,48,93,51.6,11,30,36.7,20,22,90.9,12,31,43,21,10,3,11,21,9
03/09/2022,UTA,L,240,85,29,89,32.6,9,36,25.0,18,22,81.8,9,27,36,19,4,2,10,23,-38
03/07/2022,MIN,L,240,81,23,83,27.7,7,28,25.0,28,38,73.7,8,34,42,11,10,5,18,30,-43
03/05/2022,MIN,L,240,121,40,85,47.1,16,38,42.1,25,30,83.3,11,30,41,24,5,1,16,23,-14
03/02/2022,PHX,L,240,90,30,78,38.5,11,31,35.5,19,25,76.0,5,30,35,22,10,2,19,23,-30
02/27/2022,DEN,L,240,92,34,91,37.4,6,36,16.7,18,26,69.2,11,31,42,22,12,3,15,25,-32
02/24/2022,GSW,L,240,95,31,79,39.2,9,35,25.7,24,29,82.8,6,25,31,16,5,4,18,29,-37
02/16/2022,MEM,W,240,123,43,85,50.6,13,32,40.6,24,32,75.0,13,30,43,23,6,5,12,27,4
02/14/2022,MIL,W,240,122,45,99,45.5,18,43,41.9,14,19,73.7,14,44,58,30,8,6,14,19,15
02/12/2022,NYK,W,240,112,40,84,47.6,15,40,37.5,17,20,85.0,9,42,51,29,3,2,17,26,9
02/09/2022,LAL,W,240,107,42,89,47.2,10,32,31.3,13,16,81.3,11,30,41,26,15,3,11,15,2
02/08/2022,ORL,L,240,95,32,91,35.2,11,38,28.9,20,26,76.9,17,33,50,21,9,5,13,12,-18
02/05/2022,MIL,L,240,108,41,85,48.2,14,45,31.1,12,21,57.1,9,29,38,25,6,6,16,18,-29
02/04/2022,OKC,L,240,93,40,101,39.6,6,33,18.2,7,10,70.0,17,36,53,18,7,4,12,18,-3
02/02/2022,LAL,L,240,94,35,98,35.7,14,42,33.3,10,19,52.6,18,37,55,23,11,3,13,28,-5
01/31/2022,OKC,L,240,81,34,81,42.0,7,38,18.4,6,8,75.0,6,35,41,18,7,6,15,20,-17
01/30/2022,CHI,L,240,116,43,83,51.8,18,39,46.2,12,16,75.0,5,31,36,23,4,3,12,12,-14
01/28/2022,HOU,W,240,125,46,81,56.8,17,39,43.6,16,20,80.0,4,30,34,20,10,4,15,24,15
01/26/2022,DAL,L,240,112,42,82,51.2,14,38,36.8,14,23,60.9,3,35,38,27,4,1,9,21,-20
01/25/2022,MIN,L,240,107,37,94,39.4,16,41,39.0,17,20,85.0,15,35,50,26,4,2,14,24,-2
01/23/2022,TOR,W,240,114,45,85,52.9,18,32,56.3,6,13,46.2,10,37,47,31,8,7,22,17,9
01/21/2022,BOS,W,240,109,36,76,47.4,16,33,48.5,21,30,70.0,7,35,42,20,6,4,13,21,4
01/19/2022,MIA,L,240,92,33,81,40.7,14,46,30.4,12,16,75.0,10,33,43,19,7,6,18,22,-12
01/17/2022,ORL,W,240,98,37,90,41.1,7,34,20.6,17,18,94.4,11,44,55,20,9,8,17,17,10
01/15/2022,WAS,W,240,115,39,85,45.9,13,39,33.3,24,35,68.6,8,31,39,19,13,2,13,25,5
01/13/2022,DEN,L,240,108,39,86,45.3,13,40,32.5,17,28,60.7,11,23,34,28,11,5,15,18,-32
01/10/2022,BKN,W,240,114,40,86,46.5,15,38,39.5,19,26,73.1,11,36,47,23,8,9,15,17,6
01/09/2022,SAC,W,240,103,37,88,42.0,17,40,42.5,12,15,80.0,10,38,48,26,6,5,17,23,15
01/07/2022,CLE,L,240,101,37,92,40.2,16,35,45.7,11,19,57.9,16,35,51,22,8,5,12,19,-13
01/05/2022,MIA,L,240,109,33,78,42.3,15,38,39.5,28,36,77.8,8,28,36,18,8,4,6,23,-6
01/03/2022,ATL,W,240,136,47,89,52.8,18,41,43.9,24,28,85.7,12,29,41,29,10,3,10,19,5
