,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Luguentz Dort,37:26,4.0,14.0,28.6,1.0,7.0,14.3,0.0,0.0,0.0,5.0,3.0,8.0,1.0,1.0,3.0,0.0,2.0,9.0,8.0,01/02/2024,Boston Celtics,29.0,DEN @ GSW
Jalen Williams,31:22,6.0,9.0,66.7,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,16.0,2.0,01/02/2024,Boston Celtics,27.25,DEN @ GSW
Chet Holmgren,32:43,5.0,9.0,55.6,3.0,5.0,60.0,1.0,2.0,50.0,0.0,3.0,3.0,7.0,0.0,4.0,1.0,1.0,14.0,4.0,01/02/2024,Boston Celtics,37.25,DEN @ GSW
Josh Giddey,26:52,8.0,14.0,57.1,4.0,7.0,57.1,3.0,3.0,100.0,1.0,7.0,8.0,6.0,0.0,0.0,3.0,0.0,23.0,10.0,01/02/2024,Boston Celtics,42.5,DEN @ GSW
Shai Gilgeous-Alexander,36:38,14.0,22.0,63.6,3.0,5.0,60.0,5.0,8.0,62.5,0.0,6.0,6.0,7.0,1.0,0.0,0.0,5.0,36.0,3.0,01/02/2024,Boston Celtics,57.5,DEN @ GSW
Kenrich Williams,13:27,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,-1.0,01/02/2024,Boston Celtics,10.0,DEN @ GSW
Cason Wallace,17:24,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,-14.0,01/02/2024,Boston Celtics,13.25,DEN @ GSW
Isaiah Joe,12:32,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,-4.0,01/02/2024,Boston Celtics,14.25,DEN @ GSW
Aaron Wiggins,12:49,1.0,3.0,33.3,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,01/02/2024,Boston Celtics,8.75,DEN @ GSW
Vasilije Micic,10:45,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,01/02/2024,Boston Celtics,12.25,DEN @ GSW
Jaylin Williams,8:02,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,01/02/2024,Boston Celtics,11.5,DEN @ GSW
