,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Christian Yelich LF,2,2,1,1,3,0,5,.254,.355,.389,.744,29,13,0.096, 1.04,0.135,-0.039%, 0.05%, 0.95, 1.6,2,0,,74° F, Wind 0mph, In Dome.
Willy Adames SS,4,1,1,1,0,1,5,.215,.289,.460,.749,25,16,0.067, 0.94,0.094,-0.028%, 0.04%, 0.86, -0.1,0,3,SF,74° F, Wind 0mph, In Dome.
Rowdy Tellez 1B,4,2,2,6,1,0,5,.230,.308,.465,.773,22,13,0.277, 0.68,0.295,-0.018%, 0.15%, 0.62, 4.2,8,0,2·HR,74° F, Wind 0mph, In Dome.
Andrew McCutchen DH,3,0,1,0,2,0,5,.258,.324,.394,.718,26,13,0.030, 0.21,0.033,-0.003%, 0.02%, 0.19, 0.3,,,,74° F, Wind 0mph, In Dome.
Hunter Renfroe RF,5,0,0,0,0,1,5,.247,.301,.506,.807,15,11,-0.049, 0.38,0.000,-0.049%,-0.03%, 0.34, -1.7,0,0,,74° F, Wind 0mph, In Dome.
Kolten Wong 2B,3,2,1,0,1,0,4,.243,.328,.405,.733,22,12,0.019, 0.47,0.049,-0.030%, 0.01%, 0.43, -0.1,0,0,"2B,GDP",74° F, Wind 0mph, In Dome.
Luis Urias 3B,2,2,1,2,2,0,4,.236,.328,.412,.740,15,5,0.148, 0.87,0.149,-0.001%, 0.08%, 0.79, 2.6,0,2,HR,74° F, Wind 0mph, In Dome.
Victor Caratini C,3,1,0,0,1,2,4,.230,.345,.417,.763,15,8,0.064, 0.85,0.080,-0.016%, 0.03%, 0.78, 0.3,15,0,,74° F, Wind 0mph, In Dome.
Tyrone Taylor CF,4,0,1,0,0,2,4,.227,.273,.421,.694,19,10,-0.133, 0.91,0.001,-0.134%,-0.07%, 0.83, -1.3,2,0,,74° F, Wind 0mph, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,74° F, Wind 0mph, In Dome.
Corbin Burnes P,,,,,,,,,,,,,,,,,,,,,0,1,,74° F, Wind 0mph, In Dome.
   Jake McGee P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
   Jandel Gustave P,,,,,,,,,,,,,,,,,,,,,0,0,,74° F, Wind 0mph, In Dome.
   Peter Strzelecki P,,,,,,,,,,,,,,,,,,,,,0,1,,74° F, Wind 0mph, In Dome.
