AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,0,0,0,0,4,.231,.319,.398,.717,18,10,-0.085, 0.79,0.000,-0.085%,-0.06%, 0.89, -0.9,3,3,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
3,2,1,2,1,0,4,.218,.292,.482,.775,16,10,0.196, 0.70,0.218,-0.023%, 0.13%, 0.79, 1.6,0,4,HR,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
4,0,1,0,0,0,4,.230,.306,.464,.769,17,12,-0.038, 0.49,0.007,-0.045%,-0.03%, 0.56, -0.2,11,1,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
4,2,2,2,0,1,4,.256,.321,.393,.714,23,14,0.177, 0.61,0.209,-0.032%, 0.12%, 0.69, 1.9,,,HR,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
4,0,0,0,0,0,4,.247,.342,.373,.716,13,9,-0.048, 0.48,0.000,-0.048%,-0.03%, 0.54, -0.9,7,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
4,0,0,0,0,4,4,.226,.316,.396,.712,23,16,-0.050, 0.47,0.000,-0.050%,-0.03%, 0.53, -0.9,0,4,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
3,1,2,1,1,1,4,.251,.322,.433,.755,23,13,0.110, 0.54,0.120,-0.010%, 0.07%, 0.60, 1.2,2,0,CS,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.243,.294,.480,.774,10,8,-0.052, 0.78,0.000,-0.052%,-0.03%, 0.88, -0.9,2,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
3,1,1,1,0,0,3,.227,.346,.250,.596,10,7,0.112, 0.93,0.134,-0.022%, 0.07%, 1.04, 0.6,1,0,SB,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,2,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 12mph out to Centerfield, Cloudy, No Precipitation.
