,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Kevin Durant,42:26,4.0,17.0,23.5,1.0,2.0,50.0,18.0,20.0,90.0,0.0,4.0,4.0,5.0,1.0,0.0,6.0,5.0,27.0,-10.0,04/20/2022,39.0
Bruce Brown,37:38,8.0,12.0,66.7,3.0,4.0,75.0,4.0,4.0,100.0,3.0,5.0,8.0,4.0,1.0,2.0,1.0,3.0,23.0,-8.0,04/20/2022,46.0
Andre Drummond,23:30,2.0,4.0,50.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,0.0,04/20/2022,22.0
Seth Curry,30:51,6.0,11.0,54.5,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,16.0,-3.0,04/20/2022,25.75
Kyrie Irving,40:20,4.0,13.0,30.8,0.0,1.0,0.0,2.0,2.0,100.0,3.0,5.0,8.0,1.0,0.0,1.0,2.0,3.0,10.0,-9.0,04/20/2022,22.5
Kessler Edwards,3:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,04/20/2022,-0.5
Nic Claxton,23:15,1.0,1.0,100.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,-10.0,04/20/2022,19.0
Patty Mills,17:58,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-1.0,04/20/2022,6.75
Goran Dragic,20:08,8.0,14.0,57.1,1.0,5.0,20.0,1.0,1.0,100.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,18.0,1.0,04/20/2022,25.5
Day'Ron Sharpe,0:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04/20/2022,0.0
Cam Thomas,0:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,04/20/2022,0.0
