,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Kevin Durant,18:42,4.0,8.0,50.0,1.0,4.0,25.0,4.0,4.0,100.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,13.0,3.0,10/03/2022,Philadelphia 76ers,27.0
Joe Harris,15:19,2.0,7.0,28.6,2.0,7.0,28.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,4.0,10/03/2022,Philadelphia 76ers,9.25
Nic Claxton,14:01,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,12.0,1.0,10/03/2022,Philadelphia 76ers,21.5
Kyrie Irving,18:42,4.0,8.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,9.0,3.0,10/03/2022,Philadelphia 76ers,27.5
Ben Simmons,19:08,3.0,6.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,5.0,1.0,0.0,2.0,0.0,6.0,-10.0,10/03/2022,Philadelphia 76ers,19.5
Royce O'Neale,17:22,3.0,5.0,60.0,2.0,4.0,50.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,11.0,-8.0,10/03/2022,Philadelphia 76ers,14.0
Day'Ron Sharpe,18:47,1.0,3.0,33.3,0.0,1.0,0.0,4.0,9.0,44.4,2.0,2.0,4.0,0.0,1.0,1.0,1.0,4.0,6.0,-11.0,10/03/2022,Philadelphia 76ers,14.5
Patty Mills,10:10,1.0,4.0,25.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,10/03/2022,Philadelphia 76ers,7.25
David Duke Jr.,17:21,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,-18.0,10/03/2022,Philadelphia 76ers,4.5
Markieff Morris,8:43,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,6.0,-7.0,10/03/2022,Philadelphia 76ers,10.5
Edmond Sumner,15:01,4.0,6.0,66.7,0.0,0.0,0.0,4.0,4.0,100.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,12.0,-5.0,10/03/2022,Philadelphia 76ers,19.75
Cam Thomas,17:50,1.0,6.0,16.7,0.0,0.0,0.0,5.0,5.0,100.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,-8.0,10/03/2022,Philadelphia 76ers,12.5
Yuta Watanabe,15:42,3.0,5.0,60.0,1.0,2.0,50.0,3.0,4.0,75.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,10.0,-4.0,10/03/2022,Philadelphia 76ers,15.0
Chris Chiozza,10:36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,-16.0,10/03/2022,Philadelphia 76ers,2.75
Kessler Edwards,14:57,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,-10.0,10/03/2022,Philadelphia 76ers,11.75
Alondes Williams,4:33,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,10/03/2022,Philadelphia 76ers,2.0
RaiQuan Gray,3:06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,10/03/2022,Philadelphia 76ers,0.0
