,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Drew Hutchison, 5 ,6,4,4,2,3,0,4.46,21,86,49,27,4,18,11,5,1,0,40,,,-0.136, 1.20,-0.01%, 0.10, -1.4,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
"Andrew Chafin, H (12)", 1 ,0,0,0,1,1,0,2.22,5,18,9,4,2,3,1,1,0,0,,0,0,0.089, 2.51, 0.01%, 0.22, 0.5,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
"Michael Fulmer, BS (3), L (2-4)", 0.2,2,2,2,2,1,0,2.38,6,23,16,12,3,1,1,2,1,0,,0,0,-0.411, 3.12,-0.02%, 0.27, -1.9,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Alex Lange, 1.1,1,0,0,0,0,0,2.29,4,11,7,4,1,2,3,1,1,0,,2,0,0.071, 0.79, 0.00%, 0.07, 1.0,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
