,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Nicolas Batum,21:16,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,-6.0,01/05/2024,New York Knicks,7.5,OKC @ BKN
Tobias Harris,24:03,2.0,6.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,-1.0,01/05/2024,New York Knicks,15.25,OKC @ BKN
Joel Embiid,36:13,10.0,23.0,43.5,1.0,1.0,100.0,9.0,12.0,75.0,3.0,7.0,10.0,3.0,1.0,3.0,6.0,3.0,30.0,-29.0,01/05/2024,New York Knicks,52.5,OKC @ BKN
Kelly Oubre Jr.,30:59,6.0,12.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,3.0,3.0,2.0,15.0,-20.0,01/05/2024,New York Knicks,31.25,OKC @ BKN
Tyrese Maxey,36:27,9.0,20.0,45.0,1.0,7.0,14.3,8.0,10.0,80.0,1.0,3.0,4.0,9.0,2.0,1.0,1.0,1.0,27.0,-28.0,01/05/2024,New York Knicks,51.5,OKC @ BKN
Danuel House Jr.,22:18,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,-27.0,01/05/2024,New York Knicks,10.5,OKC @ BKN
Patrick Beverley,13:34,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,-12.0,01/05/2024,New York Knicks,5.5,OKC @ BKN
Marcus Morris Sr.,16:27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-24.0,01/05/2024,New York Knicks,1.5,OKC @ BKN
Paul Reed,11:47,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,-7.0,01/05/2024,New York Knicks,7.25,OKC @ BKN
Jaden Springer,14:55,1.0,7.0,14.3,0.0,3.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,-12.0,01/05/2024,New York Knicks,9.75,OKC @ BKN
KJ Martin,7:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-12.0,01/05/2024,New York Knicks,0.0,OKC @ BKN
Mo Bamba,4:41,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,-2.0,01/05/2024,New York Knicks,10.0,OKC @ BKN
