IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 6 ,7,4,4,0,4,1,5.46,26,89,67,46,6,15,7,13,4,0,46,,,-0.174, 0.86,-0.05%, 0.41, -1.0,72° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,2,0,4.07,4,13,10,4,2,4,1,1,0,0,,0,0,0.012, 0.24, 0.00%, 0.12, 0.5,72° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,1,0,1.36,3,9,6,2,0,4,1,1,0,0,,0,0,0.008, 0.10, 0.00%, 0.04, 0.5,72° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,2,0,2.27,3,12,10,5,2,3,0,1,0,0,,0,0,0.004, 0.04, 0.00%, 0.02, 0.5,72° F, Wind 0mph, In Dome.
