,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Braxton Garrett, L (2-4)", 5 ,7,5,5,1,8,0,3.96,23,87,56,29,11,16,5,8,4,0,40,,,-0.234, 0.75,-0.06%, 0.31, -2.1,83° F, Wind 10mph in unknown direction, Cloudy, No Precipitation.
Huascar Brazoban, 2 ,1,0,0,0,5,0,0.00,7,36,21,6,7,8,0,2,2,0,,0,0,0.051, 0.41, 0.01%, 0.17, 1.2,83° F, Wind 10mph in unknown direction, Cloudy, No Precipitation.
Dylan Floro, 1 ,0,0,0,0,2,0,3.62,3,12,11,4,4,3,1,0,0,0,,0,0,0.018, 0.22, 0.01%, 0.09, 0.6,83° F, Wind 10mph in unknown direction, Cloudy, No Precipitation.
