,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Pablo Lopez, 5 ,1,1,1,4,3,0,2.86,17,83,49,29,8,12,7,3,1,0,60,,,0.126, 0.96, 0.04%, 0.47, 1.5,72° F, Wind 0mph, In Dome.
Dylan Floro, 1 ,0,0,0,0,2,0,4.43,3,11,9,4,2,3,0,1,0,0,,0,0,0.055, 0.72, 0.02%, 0.35, 0.5,72° F, Wind 0mph, In Dome.
Anthony Bass, 1 ,0,0,0,0,1,0,1.43,3,9,8,2,2,4,2,0,0,0,,0,0,0.056, 0.73, 0.02%, 0.36, 0.5,72° F, Wind 0mph, In Dome.
Steven Okert, 1 ,1,0,0,1,1,0,2.43,5,17,12,3,2,7,1,2,1,0,,0,0,0.052, 1.07, 0.01%, 0.52, 0.5,72° F, Wind 0mph, In Dome.
"Tanner Scott, BS (4)", 1 ,1,1,1,2,1,0,4.17,6,27,14,7,1,6,0,3,1,0,,0,0,-0.200, 4.08,-0.06%, 1.98, -0.5,72° F, Wind 0mph, In Dome.
"Zach Pop, W (1-0)", 1 ,3,2,1,0,1,0,2.77,5,12,11,9,1,1,3,1,1,0,,0,0,-0.301, 4.71,-0.09%, 2.29, -0.9,72° F, Wind 0mph, In Dome.
