,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,30:20,5.0,16.0,31.3,1.0,4.0,25.0,4.0,4.0,100.0,2.0,7.0,9.0,3.0,2.0,0.0,2.0,1.0,15.0,2.0,05/02/2022,34.25
P.J. Tucker,27:53,4.0,9.0,44.4,2.0,4.0,50.0,0.0,0.0,0.0,5.0,2.0,7.0,1.0,0.0,0.0,1.0,2.0,10.0,9.0,05/02/2022,20.75
Bam Adebayo,33:47,8.0,10.0,80.0,0.0,0.0,0.0,8.0,8.0,100.0,3.0,9.0,12.0,4.0,2.0,1.0,3.0,2.0,24.0,26.0,05/02/2022,49.5
Max Strus,32:51,2.0,8.0,25.0,1.0,7.0,14.3,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,27.0,05/02/2022,11.25
Gabe Vincent,29:10,4.0,12.0,33.3,1.0,7.0,14.3,1.0,1.0,100.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,10.0,1.0,05/02/2022,19.75
Tyler Herro,29:18,9.0,17.0,52.9,4.0,6.0,66.7,3.0,3.0,100.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,25.0,4.0,05/02/2022,38.75
Dewayne Dedmon,4:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-1.0,05/02/2022,0.0
Victor Oladipo,26:49,2.0,8.0,25.0,0.0,5.0,0.0,1.0,2.0,50.0,0.0,5.0,5.0,2.0,0.0,1.0,1.0,2.0,5.0,-1.0,05/02/2022,15.75
Caleb Martin,21:02,3.0,7.0,42.9,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,6.0,8.0,05/02/2022,13.25
Omer Yurtseven,4:36,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,-5.0,05/02/2022,6.0
