,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,37:19,8.0,15.0,53.3,1.0,3.0,33.3,5.0,7.0,71.4,3.0,3.0,6.0,12.0,2.0,0.0,2.0,2.0,22.0,11.0,05/04/2022,51.0
P.J. Tucker,25:46,2.0,6.0,33.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,6.0,-2.0,05/04/2022,9.75
Bam Adebayo,32:46,7.0,11.0,63.6,0.0,0.0,0.0,9.0,11.0,81.8,3.0,6.0,9.0,3.0,1.0,0.0,1.0,3.0,23.0,15.0,05/04/2022,40.25
Max Strus,26:47,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,4.0,9.0,13.0,05/04/2022,20.25
Gabe Vincent,28:01,3.0,7.0,42.9,1.0,4.0,25.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,7.0,10.0,05/04/2022,14.75
Dewayne Dedmon,10:34,2.0,5.0,40.0,0.0,2.0,0.0,3.0,4.0,75.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,7.0,6.0,05/04/2022,14.75
Tyler Herro,33:16,6.0,10.0,60.0,3.0,5.0,60.0,3.0,4.0,75.0,0.0,8.0,8.0,3.0,0.0,1.0,2.0,3.0,18.0,9.0,05/04/2022,35.0
Victor Oladipo,28:30,6.0,11.0,54.5,3.0,4.0,75.0,4.0,4.0,100.0,1.0,5.0,6.0,1.0,0.0,0.0,4.0,3.0,19.0,6.0,05/04/2022,27.5
Caleb Martin,13:20,2.0,5.0,40.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,05/04/2022,11.0
Haywood Highsmith,1:23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05/04/2022,0.0
Omer Yurtseven,1:23,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,05/04/2022,2.0
Duncan Robinson,0:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,05/04/2022,1.25
