,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,27:28,3.0,14.0,21.4,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,1.0,2.0,6.0,-30.0,05/23/2022,15.75
P.J. Tucker,21:18,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,-30.0,05/23/2022,8.75
Bam Adebayo,27:45,3.0,5.0,60.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,5.0,6.0,2.0,0.0,0.0,3.0,4.0,9.0,-16.0,05/23/2022,18.0
Max Strus,14:57,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-33.0,05/23/2022,0.0
Kyle Lowry,21:25,1.0,6.0,16.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,2.0,2.0,3.0,-27.0,05/23/2022,15.75
Gabe Vincent,26:35,2.0,10.0,20.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,6.0,7.0,05/23/2022,20.75
Victor Oladipo,30:00,7.0,16.0,43.8,4.0,7.0,57.1,5.0,8.0,62.5,1.0,3.0,4.0,6.0,0.0,0.0,1.0,3.0,23.0,4.0,05/23/2022,38.5
Dewayne Dedmon,11:24,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,-1.0,05/23/2022,7.75
Duncan Robinson,23:20,5.0,11.0,45.5,4.0,8.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,3.0,14.0,9.0,05/23/2022,25.0
Caleb Martin,24:54,5.0,10.0,50.0,2.0,5.0,40.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,12.0,9.0,05/23/2022,22.0
Omer Yurtseven,5:27,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,05/23/2022,3.25
Haywood Highsmith,5:27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,05/23/2022,2.75
