,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,42:36,13.0,29.0,44.8,2.0,6.0,33.3,4.0,6.0,66.7,2.0,6.0,8.0,4.0,1.0,2.0,2.0,0.0,32.0,16.0,05/12/2022,54.0
P.J. Tucker,38:38,6.0,9.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,1.0,0.0,2.0,0.0,2.0,12.0,13.0,05/12/2022,28.75
Bam Adebayo,34:28,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,2.0,1.0,3.0,2.0,10.0,20.0,05/12/2022,24.5
Max Strus,39:36,6.0,14.0,42.9,4.0,10.0,40.0,4.0,5.0,80.0,3.0,8.0,11.0,5.0,0.0,0.0,2.0,2.0,20.0,23.0,05/12/2022,42.25
Gabe Vincent,27:29,3.0,8.0,37.5,1.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,4.0,1.0,7.0,11.0,05/12/2022,19.0
Dewayne Dedmon,12:24,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,-7.0,05/12/2022,7.75
Tyler Herro,15:56,5.0,12.0,41.7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,10.0,-6.0,05/12/2022,17.25
Victor Oladipo,19:34,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,4.0,-14.0,05/12/2022,13.5
Caleb Martin,5:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-9.0,05/12/2022,5.25
Duncan Robinson,3:53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,05/12/2022,0.0
