,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,39:01,15.0,25.0,60.0,4.0,7.0,57.1,11.0,12.0,91.7,0.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,45.0,19.0,04/19/2022,64.75
P.J. Tucker,24:12,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,2.0,5.0,3.0,5.0,04/19/2022,15.0
Bam Adebayo,23:36,3.0,6.0,50.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,3.0,4.0,3.0,0.0,1.0,4.0,4.0,9.0,-1.0,04/19/2022,18.5
Max Strus,22:01,5.0,10.0,50.0,3.0,8.0,37.5,1.0,1.0,100.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,14.0,6.0,04/19/2022,26.25
Kyle Lowry,37:06,2.0,8.0,25.0,1.0,6.0,16.7,4.0,5.0,80.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,1.0,9.0,12.0,04/19/2022,20.75
Tyler Herro,31:22,5.0,11.0,45.5,1.0,4.0,25.0,4.0,4.0,100.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,15.0,-7.0,04/19/2022,23.75
Dewayne Dedmon,13:16,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,7.0,04/19/2022,16.75
Gabe Vincent,25:40,3.0,6.0,50.0,3.0,5.0,60.0,2.0,3.0,66.7,0.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,11.0,2.0,04/19/2022,21.25
Duncan Robinson,6:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,04/19/2022,2.5
Caleb Martin,17:06,1.0,5.0,20.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,04/19/2022,9.5
