,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Jimmy Butler,41:48,13.0,20.0,65.0,2.0,6.0,33.3,12.0,13.0,92.3,0.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,40.0,-2.0,05/08/2022,61.25
P.J. Tucker,25:08,3.0,7.0,42.9,1.0,4.0,25.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,7.0,-7.0,05/08/2022,9.5
Bam Adebayo,33:20,9.0,12.0,75.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,6.0,7.0,4.0,0.0,0.0,1.0,4.0,21.0,-5.0,05/08/2022,35.25
Max Strus,29:56,2.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,6.0,6.0,2.0,05/08/2022,18.5
Kyle Lowry,30:16,3.0,10.0,30.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,2.0,0.0,4.0,2.0,6.0,-1.0,05/08/2022,22.25
Victor Oladipo,32:09,3.0,9.0,33.3,1.0,5.0,20.0,8.0,10.0,80.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,15.0,-12.0,05/08/2022,31.25
Tyler Herro,33:43,4.0,12.0,33.3,1.0,5.0,20.0,2.0,2.0,100.0,1.0,9.0,10.0,1.0,2.0,0.0,3.0,1.0,11.0,-9.0,05/08/2022,28.0
Gabe Vincent,10:03,1.0,6.0,16.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,-6.0,05/08/2022,3.5
Caleb Martin,0:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/08/2022,0.0
Markieff Morris,3:28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,05/08/2022,0.75
