,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/23/1996,DAL,DEN @ SEA,L,240,109,41,86,47.7,5,14,35.7,22,28,78.6,19,26,45,22,5,5,18,29,-2
01/21/1996,PHX,DEN @ SEA,L,240,97,33,76,43.4,7,19,36.8,24,34,70.6,9,29,38,28,10,3,18,31,-14
01/20/1996,DEN,SAC @ DEN,W,240,115,39,72,54.2,1,7,14.3,36,45,80.0,8,30,38,24,8,4,10,28,5
01/18/1996,POR,SAC @ DEN,W,240,105,36,82,43.9,4,13,30.8,29,32,90.6,20,20,40,24,10,10,8,19,5
01/15/1996,MIN,NYK @ LAC,L,240,94,35,83,42.2,7,24,29.2,17,21,81.0,11,27,38,25,6,5,19,32,-9
01/13/1996,NYK,NYK @ LAC,W,240,119,40,81,49.4,11,17,64.7,28,34,82.4,14,23,37,26,9,1,11,22,8
01/12/1996,WAS,WAS @ TOR,L,240,88,31,75,41.3,4,10,40.0,22,31,71.0,9,25,34,19,5,2,19,30,-29
01/10/1996,BOS,WAS @ TOR,L,240,104,40,70,57.1,6,14,42.9,18,24,75.0,5,28,33,31,7,7,25,26,-9
01/09/1996,ATL,IND @ DAL,L,240,88,35,75,46.7,4,16,25.0,14,18,77.8,12,33,45,20,7,7,29,28,-16
01/06/1996,GOS,IND @ DAL,W,240,115,43,86,50.0,6,14,42.9,23,30,76.7,10,33,43,26,8,3,15,25,9
01/04/1996,DEN,DAL @ NJN,W,240,126,48,82,58.5,6,11,54.5,24,30,80.0,14,32,46,33,6,4,13,21,30
12/29/1995,PHL,POR @ NYK,W,240,117,47,73,64.4,7,13,53.8,16,22,72.7,8,39,47,29,6,6,22,29,20
12/26/1995,SAN,MIN @ UTH,W,240,115,40,86,46.5,10,21,47.6,25,39,64.1,21,34,55,27,9,9,15,27,17
12/22/1995,LAL,MIA @ CHH,L,240,83,32,84,38.1,4,14,28.6,15,20,75.0,17,24,41,23,8,7,21,23,-33
12/21/1995,LAC,MIA @ CHH,L,240,96,36,82,43.9,5,9,55.6,19,26,73.1,14,27,41,16,9,7,21,31,-7
12/18/1995,VAN,BOS @ CHH,W,240,92,34,71,47.9,2,6,33.3,22,28,78.6,10,24,34,20,5,5,15,25,7
12/16/1995,SAN,PHL @ MIN,L,240,106,36,83,43.4,6,12,50.0,28,39,71.8,23,22,45,15,6,4,16,37,-16
12/15/1995,HOU,PHL @ MIN,W,240,114,43,74,58.1,6,12,50.0,22,27,81.5,7,29,36,27,10,4,20,29,4
12/12/1995,HOU,SEA @ SAN,L,240,93,35,90,38.9,1,13,7.7,22,33,66.7,13,28,41,14,6,6,12,23,-40
12/10/1995,MIA,SEA @ SAN,W,240,110,37,73,50.7,7,15,46.7,29,37,78.4,14,33,47,28,11,8,21,23,20
12/08/1995,SEA,BOS @ PHL,L,240,103,32,68,47.1,4,13,30.8,35,49,71.4,10,22,32,20,8,4,21,22,-17
12/02/1995,ORL,CHH @ HOU,W,240,109,40,72,55.6,6,15,40.0,23,33,69.7,10,31,41,27,7,1,18,27,3
11/30/1995,IND,CHH @ HOU,W,240,105,37,74,50.0,5,12,41.7,26,33,78.8,14,28,42,22,7,4,16,28,10
11/28/1995,DEN,PHX @ LAL,W,240,91,32,77,41.6,4,10,40.0,23,32,71.9,12,37,49,18,10,4,14,25,6
11/26/1995,NJN,PHX @ LAL,W,240,99,32,73,43.8,5,14,35.7,30,36,83.3,10,30,40,24,6,8,21,28,7
11/24/1995,LAL,SAN @ LAC,W,240,99,39,84,46.4,7,17,41.2,14,19,73.7,16,29,45,27,4,4,19,26,1
11/22/1995,UTH,SAN @ LAC,L,240,95,32,72,44.4,7,17,41.2,24,26,92.3,12,24,36,14,7,5,12,33,-21
11/19/1995,ATL,SEA @ MIN,L,240,94,34,79,43.0,4,19,21.1,22,30,73.3,17,28,45,22,9,9,20,26,-14
11/17/1995,PHX,NYK @ DEN,W,240,105,34,77,44.2,6,12,50.0,31,41,75.6,17,38,55,21,8,3,16,22,9
11/16/1995,POR,NYK @ DEN,W,240,105,38,69,55.1,5,12,41.7,24,38,63.2,7,30,37,25,13,5,19,26,3
11/14/1995,LAL,IND @ MIA,L,240,100,35,83,42.2,8,23,34.8,22,35,62.9,21,27,48,20,8,8,20,29,-6
11/11/1995,NJN,IND @ MIA,L,240,84,29,75,38.7,9,19,47.4,17,22,77.3,16,22,38,13,5,5,20,23,-2
11/10/1995,IND,IND @ MIA,W,240,119,41,73,56.2,3,12,25.0,34,49,69.4,15,30,45,22,7,5,13,36,24
11/08/1995,TOR,POR @ MIN,W,240,109,39,82,47.6,6,10,60.0,25,33,75.8,12,31,43,26,11,7,16,24,19
11/07/1995,PHL,IND @ CLE,W,240,109,33,80,41.3,5,18,27.8,38,46,82.6,11,37,48,22,8,4,18,38,3
11/05/1995,LAC,IND @ CLE,W,240,99,36,70,51.4,3,7,42.9,24,35,68.6,14,31,45,20,15,6,20,25,17
