,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Jonathan India 2B,4,2,1,0,1,2,5,.222,.277,.326,.604,25,17,0.001, 1.40,0.120,-0.118%,0%, 0.02, 0.2,2,1,2B,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Brandon Drury 3B,4,1,2,0,1,1,5,.279,.338,.535,.874,19,9,0.154, 1.46,0.180,-0.027%, 0.00%, 0.02, 1.0,0,1,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Tommy Pham LF,5,0,1,0,0,1,5,.245,.332,.398,.730,20,14,-0.178, 1.97,0.014,-0.191%,-0.00%, 0.03, -1.2,2,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Joey Votto 1B,5,0,1,2,0,2,5,.211,.328,.372,.700,21,13,0.040, 2.02,0.196,-0.157%,0%, 0.03, 0.5,3,0,2B,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Tyler Stephenson C,3,0,1,1,1,1,5,.321,.376,.487,.863,19,11,0.121, 1.63,0.152,-0.031%, 0.00%, 0.03, 0.4,16,0,SF,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Tyler Naquin RF,3,0,0,0,0,0,3,.244,.307,.439,.746,7,6,-0.086, 1.06,0.000,-0.086%,-0.00%, 0.02, -0.9,1,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Donovan Solano PH,1,0,0,0,0,0,1,.279,.353,.410,.763,4,3,0.025, 0.71,0.025,0.000%,0%, 0.01, 0.3,,,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Nick Senzel PR-CF,0,0,0,0,0,0,0,.252,.308,.325,.633,,,-0.043, 1.22,0.000,-0.043%,0%, 0.02, -0.4,1,0,CS,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Matt Reynolds PH-RF,1,0,0,0,0,1,1,.253,.331,.367,.699,5,3,-0.123, 4.56,0.000,-0.123%,-0.00%, 0.08, -0.7,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Kyle Farmer SS,4,1,1,1,1,1,5,.263,.333,.397,.730,16,11,-0.271, 1.95,0.107,-0.378%,-0.00%, 0.03, -0.6,0,1,"HR,GDP",86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Mike Moustakas DH,4,1,1,1,0,1,4,.210,.298,.337,.634,17,11,0.015, 0.79,0.080,-0.065%,0%, 0.01, 0.4,,,HR,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Stuart Fairchild CF-RF-CF,3,1,2,1,1,1,4,.143,.200,.357,.557,13,8,0.120, 0.97,0.160,-0.040%, 0.00%, 0.02, 1.2,3,0,HR,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Mike Minor P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Buck Farmer P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Joel Kuhnel P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Ian Gibaut P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Hunter Strickland P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
   Alexis Diaz P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
