AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
5,0,2,2,0,0,5,.221,.273,.321,.595,19,15,0.595, 2.35,0.669,-0.074%, 0.01%, 0.04, 1.8,4,4,"2B,SB",86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,0,1,2,5,.276,.334,.536,.870,21,12,-0.041, 0.96,0.044,-0.085%,-0.00%, 0.02, -0.6,1,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,1,0,0,1,3,4,.246,.334,.401,.736,19,10,-0.093, 1.27,0.039,-0.131%,-0.00%, 0.02, -1.0,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,1,1,0,0,1,4,.211,.331,.372,.702,12,8,0.001, 1.09,0.078,-0.076%,0%, 0.02, -0.2,8,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,0,1,0,0,1,4,.320,.375,.490,.865,15,9,0.123, 1.34,0.162,-0.039%, 0.00%, 0.03, 0.8,5,0,HBP,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
0,0,0,0,0,0,0,.161,.257,.161,.418,,,,,,,,,,1,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,1,1,0,2,4,.248,.313,.447,.760,15,10,0.095, 1.85,0.160,-0.065%, 0.00%, 0.04, 0.4,1,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,1,0,1,0,2,4,.264,.332,.388,.720,22,14,0.147, 2.11,0.212,-0.065%, 0.00%, 0.04, 0.3,2,6,HBP,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
3,0,1,0,0,2,3,.209,.299,.323,.622,19,12,0.027, 0.77,0.064,-0.037%,0%, 0.01, 0.2,,,2B,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
1,1,0,0,0,0,1,.283,.358,.417,.775,3,3,-0.184, 5.36,0.000,-0.184%,-0.00%, 0.10, -0.8,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
4,0,0,0,0,0,4,.257,.313,.330,.643,8,6,-0.303, 2.54,0.000,-0.303%,-0.00%, 0.05, -1.6,5,1,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation.
