,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jae'Sean Tate,20:51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,-13.0,01/05/2024,Minnesota Timberwolves,8.75,OKC @ BKN
Jabari Smith Jr.,32:25,6.0,13.0,46.2,3.0,5.0,60.0,1.0,2.0,50.0,1.0,8.0,9.0,2.0,0.0,0.0,4.0,3.0,16.0,-12.0,01/05/2024,Minnesota Timberwolves,29.75,OKC @ BKN
Alperen Sengun,33:20,8.0,17.0,47.1,0.0,1.0,0.0,3.0,3.0,100.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,3.0,19.0,-16.0,01/05/2024,Minnesota Timberwolves,25.75,OKC @ BKN
Jalen Green,30:42,7.0,16.0,43.8,4.0,8.0,50.0,2.0,4.0,50.0,1.0,4.0,5.0,2.0,0.0,0.0,2.0,1.0,20.0,-9.0,01/05/2024,Minnesota Timberwolves,30.25,OKC @ BKN
Fred VanVleet,30:58,2.0,9.0,22.2,2.0,5.0,40.0,1.0,1.0,100.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,7.0,-13.0,01/05/2024,Minnesota Timberwolves,24.75,OKC @ BKN
Amen Thompson,19:37,2.0,9.0,22.2,0.0,2.0,0.0,2.0,3.0,66.7,1.0,5.0,6.0,1.0,3.0,0.0,2.0,3.0,6.0,-20.0,01/05/2024,Minnesota Timberwolves,20.0,OKC @ BKN
Aaron Holiday,18:57,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,-14.0,01/05/2024,Minnesota Timberwolves,11.0,OKC @ BKN
Cam Whitmore,14:53,4.0,10.0,40.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,11.0,-9.0,01/05/2024,Minnesota Timberwolves,16.0,OKC @ BKN
Jeff Green,20:50,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,-17.0,01/05/2024,Minnesota Timberwolves,5.25,OKC @ BKN
Reggie Bullock Jr.,7:59,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,-5.0,01/05/2024,Minnesota Timberwolves,6.75,OKC @ BKN
Jock Landale,5:23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0,01/05/2024,Minnesota Timberwolves,2.0,OKC @ BKN
Boban Marjanovic,4:05,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,01/05/2024,Minnesota Timberwolves,5.75,OKC @ BKN
