,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jae'Sean Tate,31:26,2.0,2.0,100.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,4.0,8.0,17.0,01/03/2024,Brooklyn Nets,18.0,OKC @ BKN
Jabari Smith Jr.,32:49,2.0,8.0,25.0,1.0,4.0,25.0,2.0,2.0,100.0,1.0,11.0,12.0,0.0,0.0,1.0,1.0,4.0,7.0,11.0,01/03/2024,Brooklyn Nets,24.0,OKC @ BKN
Alperen Sengun,33:37,11.0,17.0,64.7,0.0,2.0,0.0,8.0,10.0,80.0,4.0,4.0,8.0,4.0,3.0,1.0,2.0,1.0,30.0,17.0,01/03/2024,Brooklyn Nets,53.0,OKC @ BKN
Jalen Green,31:20,5.0,15.0,33.3,3.0,9.0,33.3,1.0,2.0,50.0,0.0,8.0,8.0,4.0,0.0,0.0,4.0,1.0,14.0,17.0,01/03/2024,Brooklyn Nets,29.5,OKC @ BKN
Fred VanVleet,35:41,7.0,9.0,77.8,6.0,8.0,75.0,1.0,2.0,50.0,0.0,6.0,6.0,10.0,0.0,2.0,4.0,2.0,21.0,24.0,01/03/2024,Brooklyn Nets,48.5,OKC @ BKN
Jeff Green,17:02,2.0,4.0,50.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,-7.0,01/03/2024,Brooklyn Nets,8.5,OKC @ BKN
Aaron Holiday,14:01,1.0,5.0,20.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,-5.0,01/03/2024,Brooklyn Nets,8.75,OKC @ BKN
Amen Thompson,19:52,3.0,7.0,42.9,1.0,3.0,33.3,3.0,7.0,42.9,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,01/03/2024,Brooklyn Nets,19.0,OKC @ BKN
Cam Whitmore,16:34,4.0,7.0,57.1,3.0,5.0,60.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,11.0,-6.0,01/03/2024,Brooklyn Nets,20.0,OKC @ BKN
Reggie Bullock Jr.,7:38,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-13.0,01/03/2024,Brooklyn Nets,2.75,OKC @ BKN
