,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/09/2010,DAL,DET @ WAS,W,240,111,42,79,53.2,8,17,47.1,19,25,76.0,8,33,41,28,9,7,5,19,18
01/08/2010,MEM,UTA @ DAL,L,240,89,33,83,39.8,5,11,45.5,18,25,72.0,13,29,42,24,5,8,15,25,-2
01/06/2010,MEM,UTA @ DAL,W,240,117,46,81,56.8,9,19,47.4,16,22,72.7,5,30,35,39,13,6,13,30,23
01/04/2010,NOH,GSW @ DEN,L,240,87,33,87,37.9,7,14,50.0,14,16,87.5,14,29,43,23,6,1,13,21,-4
01/02/2010,DEN,GSW @ DEN,L,240,95,36,71,50.7,3,12,25.0,20,27,74.1,9,32,41,20,9,6,26,22,-10
12/31/2009,OKC,MEM @ PHX,L,240,86,37,90,41.1,0,9,0.0,12,17,70.6,17,27,44,20,8,5,15,22,-1
12/30/2009,MIN,MEM @ PHX,W,240,107,42,92,45.7,7,16,43.8,16,22,72.7,14,28,42,27,6,4,12,23,4
12/26/2009,PHI,NOH @ HOU,W,240,97,36,69,52.2,6,11,54.5,19,30,63.3,6,43,49,24,9,9,20,20,21
12/23/2009,MIA,CHA @ OKC,L,240,70,27,72,37.5,2,11,18.2,14,21,66.7,12,32,44,19,3,10,21,18,-10
12/21/2009,ORL,LAC @ HOU,L,240,99,36,89,40.4,7,18,38.9,20,27,74.1,8,30,38,26,6,3,17,26,-5
12/19/2009,CHA,LAC @ HOU,W,240,110,41,77,53.2,4,17,23.5,24,30,80.0,8,26,34,31,8,6,21,24,8
12/18/2009,ATL,HOU @ DAL,L,240,83,30,70,42.9,2,10,20.0,21,33,63.6,8,36,44,24,8,5,24,24,-13
12/16/2009,NJN,HOU @ DAL,W,240,108,40,71,56.3,3,7,42.9,25,32,78.1,9,33,42,31,5,4,13,20,16
12/14/2009,MIN,NJN @ CLE,L,240,108,41,81,50.6,5,15,33.3,21,37,56.8,7,29,36,28,5,6,12,26,-2
12/12/2009,LAL,NJN @ CLE,W,240,102,40,77,51.9,7,18,38.9,15,18,83.3,8,27,35,29,7,1,15,23,8
12/10/2009,ORL,ORL @ PHX,W,240,120,42,84,50.0,6,22,27.3,30,46,65.2,13,33,46,28,7,2,6,20,9
12/09/2009,LAL,ORL @ PHX,L,240,77,29,86,33.7,4,17,23.5,15,19,78.9,15,32,47,16,5,3,17,21,-24
12/07/2009,SAS,DEN @ CHA,W,240,104,42,79,53.2,7,11,63.6,13,15,86.7,9,23,32,29,8,3,13,19,3
12/05/2009,MIN,DEN @ CHA,L,240,101,43,86,50.0,2,16,12.5,13,17,76.5,12,24,36,28,8,0,14,19,-7
