,0
Aaron Wiggins,14.779349327087402
Aleksej Pokusevski,27.004384994506836
Darius Bazley,26.73710060119629
Eugene Omoruyi,10.159083366394043
Isaiah Joe,12.894271850585938
Jalen Williams,18.05780029296875
Jaylin Williams,
Jeremiah Robinson-Earl,14.506268501281738
Josh Giddey,24.468120574951172
Kenrich Williams,22.244434356689453
Lindy Waters III,
Luguentz Dort,19.774335861206055
Mike Muscala,18.600147247314453
Ousmane Dieng,3.397907018661499
Shai Gilgeous-Alexander,28.120513916015625
Tre Mann,29.06137466430664
