,0
Cam Reddish,14.966344833374023
Derrick Rose,13.38969898223877
Evan Fournier,16.813444137573242
Immanuel Quickley,21.48246955871582
Isaiah Hartenstein,8.990362167358398
Jalen Brunson,15.057981491088867
Jericho Sims,24.874460220336914
Julius Randle,41.48728561401367
Miles McBride,
Mitchell Robinson,18.15464210510254
Obi Toppin,22.929256439208984
Quentin Grimes,
RJ Barrett,13.167010307312012
Ryan Arcidiacono,
Svi Mykhailiuk,
Trevor Keels,
