,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Josh Rojas 3B,4,0,0,0,0,3,4,.271,.338,.407,.744,24,17,-0.069, 0.70,0.000,-0.069%,-0.01%, 0.11, -0.6,2,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Alek Thomas CF,4,0,0,0,0,1,4,.249,.302,.410,.712,16,10,-0.072, 0.72,0.000,-0.072%,-0.01%, 0.11, -0.6,4,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Ketel Marte DH,4,2,3,1,0,0,4,.276,.368,.459,.827,14,11,0.148, 0.79,0.178,-0.030%, 0.01%, 0.12, 1.4,,,HR,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Christian Walker 1B,4,1,1,2,0,1,4,.206,.319,.467,.786,16,9,0.051, 1.07,0.118,-0.067%, 0.01%, 0.17, 1.2,4,0,HR,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
David Peralta LF,4,0,1,0,0,2,4,.236,.302,.437,.739,13,9,-0.070, 0.94,0.017,-0.087%,-0.01%, 0.14, -0.6,5,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Daulton Varsho RF,1,0,0,0,2,0,3,.236,.303,.414,.717,15,7,0.034, 0.77,0.051,-0.017%, 0.00%, 0.12, 0.3,3,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
   Buddy Kennedy PH,1,0,0,0,0,0,1,.219,.278,.328,.606,5,4,-0.036, 1.44,0.000,-0.036%,-0.00%, 0.22, -0.2,,,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Carson Kelly C,4,0,1,0,0,0,4,.181,.226,.291,.518,13,11,-0.081, 1.18,0.014,-0.096%,-0.01%, 0.18, -0.6,4,1,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Sergio Alcantara 2B,3,0,0,0,0,1,3,.192,.211,.298,.509,13,9,-0.089, 1.10,0.000,-0.089%,-0.01%, 0.17, -0.8,1,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
   Jordan Luplow PH,1,0,0,0,0,1,1,.179,.270,.443,.713,4,4,-0.011, 0.41,0.000,-0.011%,-0.00%, 0.06, -0.1,,,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Geraldo Perdomo SS,3,0,0,0,0,1,3,.201,.299,.266,.565,11,7,-0.074, 0.99,0.000,-0.074%,-0.01%, 0.15, -0.6,1,3,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Madison Bumgarner P,,,,,,,,,,,,,,,,,,,,,0,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
   Kyle Nelson P,,,,,,,,,,,,,,,,,,,,,0,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
   Luke Weaver P,,,,,,,,,,,,,,,,,,,,,0,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
   Caleb Smith P,,,,,,,,,,,,,,,,,,,,,0,0,,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
