AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,1,0,1,2,5,.282,.348,.426,.774,21,13,0.011, 0.66,0.058,-0.047%, 0.00%, 0.11, 0.0,2,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
5,0,3,0,0,1,5,.250,.305,.408,.713,12,9,0.074, 0.80,0.129,-0.056%, 0.01%, 0.14, 0.6,2,0,2B,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,1,1,0,1,0,5,.265,.362,.433,.794,17,11,-0.122, 1.00,0.044,-0.165%,-0.01%, 0.17, -1.3,,,"2B,GDP",63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,1,1,0,1,0,5,.209,.320,.468,.788,19,9,-0.048, 1.02,0.035,-0.083%,-0.01%, 0.18, -0.7,7,1,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,1,1,1,1,1,5,.241,.309,.449,.758,17,9,0.054, 1.23,0.129,-0.075%, 0.01%, 0.21, 0.3,3,0,IW,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
2,0,0,0,1,1,3,.217,.269,.333,.602,11,4,-0.022, 1.08,0.013,-0.035%,-0.00%, 0.19, -0.2,1,3,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
0,1,0,0,1,0,1,.228,.291,.405,.696,10,6,0.035, 0.62,0.035,0.000%, 0.00%, 0.10, 0.6,,,SB,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
1,0,0,0,0,0,1,.204,.267,.226,.493,4,2,-0.038, 1.37,0.000,-0.038%,-0.00%, 0.24, -0.5,1,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,1,2,1,0,4,.235,.298,.412,.710,24,16,0.136, 1.11,0.176,-0.040%, 0.01%, 0.19, 1.2,2,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
3,0,1,0,0,0,3,.175,.217,.292,.509,7,5,-0.015, 0.80,0.028,-0.042%,-0.00%, 0.14, -0.4,5,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
1,0,1,1,0,0,1,.177,.198,.281,.479,9,6,0.071, 0.52,0.071,0.000%, 0.01%, 0.09, 1.3,0,1,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
4,0,0,0,0,1,4,.206,.307,.275,.582,19,13,-0.092, 0.79,0.000,-0.092%,-0.01%, 0.14, -1.4,3,4,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,63° F, Wind 14mph out to Centerfield, Cloudy, No Precipitation.
