,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Arena
Josh Rojas 3B,4,1,2,1,0,1,4,.283,.357,.422,.779,18,12,0.043, 0.54,0.075,-0.032%, 0.01%, 0.11, 0.8,1,1,HR,72° F, Wind 1mph in unknown direction, In Dome.
Alek Thomas CF,4,0,0,0,0,1,4,.252,.308,.400,.708,14,9,-0.081, 0.77,0.000,-0.081%,-0.01%, 0.16, -0.8,1,0,,72° F, Wind 1mph in unknown direction, In Dome.
Ketel Marte 2B,4,2,2,1,0,1,4,.270,.358,.470,.828,12,7,0.122, 0.67,0.158,-0.037%, 0.01%, 0.14, 1.1,1,1,"HR,2B",72° F, Wind 1mph in unknown direction, In Dome.
Christian Walker 1B,4,0,0,0,0,1,4,.204,.312,.450,.762,15,9,-0.071, 0.81,0.009,-0.080%,-0.01%, 0.17, -0.2,7,0,,72° F, Wind 1mph in unknown direction, In Dome.
David Peralta LF,4,0,2,1,0,0,4,.251,.317,.465,.782,12,9,0.132, 0.84,0.155,-0.023%, 0.02%, 0.17, 0.7,3,0,2B,72° F, Wind 1mph in unknown direction, In Dome.
Daulton Varsho RF,3,0,0,0,1,0,4,.233,.304,.409,.713,11,6,-0.049, 0.91,0.011,-0.060%,-0.01%, 0.19, -0.6,6,0,,72° F, Wind 1mph in unknown direction, In Dome.
Jake McCarthy DH,4,1,1,0,0,0,4,.252,.303,.423,.726,22,13,-0.016, 1.07,0.056,-0.072%,-0.00%, 0.22, -0.5,,,,72° F, Wind 1mph in unknown direction, In Dome.
Sergio Alcantara SS,3,1,1,0,0,0,3,.190,.219,.306,.525,6,5,0.111, 1.43,0.162,-0.051%, 0.01%, 0.29, 0.6,1,1,,72° F, Wind 1mph in unknown direction, In Dome.
   Geraldo Perdomo SS,0,0,0,0,0,0,0,.201,.298,.265,.563,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
Jose Herrera C,2,0,0,1,0,2,3,.188,.255,.208,.462,12,9,0.036, 1.10,0.072,-0.036%, 0.00%, 0.22, -0.1,7,0,SH,72° F, Wind 1mph in unknown direction, In Dome.
,,,,,,,,,,,,,,,,,,,,,,,,72° F, Wind 1mph in unknown direction, In Dome.
Zac Gallen P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Caleb Smith P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Noe Ramirez P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Joe Mantiply P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
   Mark Melancon P,,,,,,,,,,,,,,,,,,,,,0,0,,72° F, Wind 1mph in unknown direction, In Dome.
