,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
De'Andre Hunter,30:30,9.0,13.0,69.2,4.0,6.0,66.7,2.0,4.0,50.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,24.0,-29.0,04/24/2022,30.75
John Collins,21:41,4.0,8.0,50.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,11.0,-23.0,04/24/2022,17.0
Clint Capela,20:59,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0,04/24/2022,10.75
Kevin Huerter,30:05,1.0,7.0,14.3,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,1.0,4.0,-9.0,04/24/2022,12.25
Trae Young,35:31,3.0,11.0,27.3,3.0,10.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,5.0,3.0,9.0,-27.0,04/24/2022,16.75
Bogdan Bogdanovic,20:43,1.0,6.0,16.7,0.0,3.0,0.0,2.0,4.0,50.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,-10.0,04/24/2022,10.5
Delon Wright,25:43,2.0,6.0,33.3,1.0,3.0,33.3,2.0,4.0,50.0,3.0,4.0,7.0,2.0,0.0,1.0,0.0,0.0,7.0,-15.0,04/24/2022,21.25
Danilo Gallinari,14:59,4.0,9.0,44.4,0.0,4.0,0.0,1.0,1.0,100.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,2.0,9.0,4.0,04/24/2022,19.25
Onyeka Okongwu,18:30,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,2.0,5.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,04/24/2022,11.25
Timothe Luwawu-Cabarrot,4:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,04/24/2022,3.0
Jalen Johnson,4:16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,04/24/2022,-0.5
Gorgui Dieng,4:16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/24/2022,2.5
Skylar Mays,4:16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,04/24/2022,3.5
Kevin Knox II,4:16,4.0,6.0,66.7,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,04/24/2022,16.0
