,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
De'Andre Hunter,32:34,7.0,13.0,53.8,4.0,4.0,100.0,4.0,5.0,80.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,22.0,18.0,04/10/2022,25.5
Danilo Gallinari,31:32,9.0,14.0,64.3,6.0,8.0,75.0,2.0,2.0,100.0,1.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,26.0,2.0,04/10/2022,38.0
Clint Capela,23:20,7.0,10.0,70.0,0.0,0.0,0.0,4.0,4.0,100.0,7.0,6.0,13.0,0.0,1.0,2.0,0.0,2.0,18.0,11.0,04/10/2022,40.25
Kevin Huerter,30:29,4.0,8.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,3.0,11.0,13.0,04/10/2022,25.75
Trae Young,34:14,10.0,20.0,50.0,4.0,7.0,57.1,4.0,4.0,100.0,1.0,4.0,5.0,11.0,0.0,0.0,5.0,4.0,28.0,8.0,04/10/2022,50.25
Bogdan Bogdanovic,27:60,5.0,14.0,35.7,4.0,9.0,44.4,0.0,3.0,0.0,0.0,6.0,6.0,7.0,2.0,0.0,0.0,1.0,14.0,20.0,04/10/2022,38.0
Onyeka Okongwu,22:43,3.0,4.0,75.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,8.0,9.0,1.0,0.0,1.0,1.0,5.0,8.0,9.0,04/10/2022,22.25
Delon Wright,22:03,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,12.0,04/10/2022,11.0
Timothe Luwawu-Cabarrot,7:29,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,04/10/2022,2.0
Jalen Johnson,1:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,04/10/2022,0.0
Skylar Mays,1:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,04/10/2022,0.0
Kevin Knox II,1:57,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.0,04/10/2022,3.5
Sharife Cooper,1:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,04/10/2022,0.0
