,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Deni Avdija,33:00,9.0,13.0,69.2,2.0,4.0,50.0,3.0,5.0,60.0,3.0,7.0,10.0,6.0,2.0,0.0,4.0,5.0,23.0,-7.0,01/06/2024,New York Knicks,47.5,PHX @ LAC
Kyle Kuzma,31:47,10.0,21.0,47.6,4.0,10.0,40.0,3.0,4.0,75.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,27.0,-8.0,01/06/2024,New York Knicks,35.0,PHX @ LAC
Daniel Gafford,30:38,2.0,2.0,100.0,0.0,0.0,0.0,2.0,4.0,50.0,4.0,8.0,12.0,3.0,1.0,1.0,1.0,5.0,6.0,-8.0,01/06/2024,New York Knicks,29.0,PHX @ LAC
Jordan Poole,29:53,4.0,10.0,40.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,3.0,4.0,2.0,0.0,2.0,3.0,10.0,-1.0,01/06/2024,New York Knicks,23.25,PHX @ LAC
Tyus Jones,27:58,4.0,13.0,30.8,2.0,6.0,33.3,1.0,2.0,50.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,11.0,-1.0,01/06/2024,New York Knicks,24.25,PHX @ LAC
Bilal Coulibaly,27:46,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,-22.0,01/06/2024,New York Knicks,10.75,PHX @ LAC
Delon Wright,16:35,1.0,6.0,16.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,-20.0,01/06/2024,New York Knicks,10.25,PHX @ LAC
Mike Muscala,13:55,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,50.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,-13.0,01/06/2024,New York Knicks,8.0,PHX @ LAC
Corey Kispert,14:40,3.0,4.0,75.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,8.0,-20.0,01/06/2024,New York Knicks,12.5,PHX @ LAC
Anthony Gill,3:27,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,01/06/2024,New York Knicks,6.0,PHX @ LAC
Johnny Davis,3:27,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,01/06/2024,New York Knicks,2.0,PHX @ LAC
Eugene Omoruyi,3:27,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,01/06/2024,New York Knicks,2.75,PHX @ LAC
Jared Butler,3:27,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,01/06/2024,New York Knicks,12.0,PHX @ LAC
