AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,0,0,1,1,5,.318,.444,.364,.808,27,15,-0.185, 1.92,0.037,-0.223%,-0.02%, 0.35, -1.0,1,2,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
2,0,0,0,0,2,2,.270,.368,.599,.967,9,7,-0.062, 1.28,0.000,-0.062%,-0.01%, 0.23, -0.6,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
1,0,0,0,0,1,1,.182,.357,.455,.812,4,3,-0.020, 0.78,0.000,-0.020%,-0.00%, 0.14, -0.2,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
2,0,1,2,0,1,2,.200,.306,.200,.506,7,5,0.167, 2.88,0.216,-0.050%, 0.02%, 0.52, 1.7,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
2,0,0,0,2,1,4,.255,.343,.487,.831,15,6,0.021, 1.27,0.053,-0.032%, 0.00%, 0.23, 0.2,,,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,0,0,0,1,1,4,.292,.385,.511,.896,14,7,-0.046, 1.48,0.063,-0.108%,-0.01%, 0.27, -0.1,2,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
4,0,0,1,0,1,4,.243,.286,.424,.710,16,11,-0.094, 1.60,0.001,-0.096%,-0.01%, 0.29, -0.7,8,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,1,0,0,1,1,4,.243,.286,.384,.669,25,17,-0.097, 1.18,0.021,-0.118%,-0.01%, 0.21, -0.7,3,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,1,0,0,1,0,4,.207,.317,.333,.650,15,8,0.021, 0.87,0.059,-0.039%, 0.00%, 0.16, 0.2,9,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
4,1,0,0,0,2,4,.211,.256,.297,.554,16,11,-0.036, 1.40,0.066,-0.102%,-0.00%, 0.26, 0.0,0,5,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
3,1,1,1,0,1,4,.225,.279,.336,.615,14,10,0.193, 2.21,0.307,-0.114%, 0.02%, 0.40, 1.6,4,0,"SB,HBP",73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 10mph out to Centerfield, Sunny, No Precipitation.
