,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Shohei Ohtani DH,3,0,1,1,2,1,5,.257,.352,.492,.844,15,9,0.041, 0.72,0.066,-0.025%, 0.00%, 0.03, 0.5,,,IW,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Taylor Ward RF,4,0,0,0,0,2,4,.283,.374,.482,.855,17,14,-0.107, 1.04,0.000,-0.107%,-0.00%, 0.05, -1.5,1,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Luis Rengifo SS-2B,4,0,0,0,0,1,4,.263,.310,.393,.702,18,10,-0.078, 0.71,0.000,-0.078%,-0.00%, 0.03, -1.3,0,5,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Jared Walsh 1B,4,0,1,0,0,0,4,.243,.288,.421,.709,9,6,-0.038, 0.65,0.019,-0.057%,-0.00%, 0.03, -0.5,6,1,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Kurt Suzuki C,4,1,2,0,0,0,4,.196,.275,.299,.574,9,6,0.085, 0.73,0.105,-0.020%, 0.00%, 0.04, 0.7,13,0,2B,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Magneuris Sierra CF,3,0,0,0,1,0,4,.250,.333,.250,.583,15,6,-0.027, 0.88,0.042,-0.070%,-0.00%, 0.04, -0.0,3,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Phil Gosselin 3B,4,1,2,1,0,1,4,.225,.262,.275,.537,21,15,0.026, 1.12,0.163,-0.137%, 0.00%, 0.06, -0.2,0,0,"3B,GDP",81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Brandon Marsh LF,4,1,2,1,0,2,4,.223,.279,.351,.630,14,10,0.123, 0.79,0.144,-0.021%, 0.00%, 0.04, 1.1,2,0,"3B,SB",81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Michael Stefanic 2B,2,0,0,0,0,0,2,.167,.271,.190,.461,6,4,-0.037, 0.73,0.000,-0.037%,-0.00%, 0.04, -0.5,0,2,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Andrew Velazquez SS,2,1,1,0,0,1,2,.176,.218,.266,.484,12,7,0.050, 0.36,0.053,-0.002%, 0.00%, 0.01, 0.7,1,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Janson Junk P,,,,,,,,,,,,,,,,,,,,,1,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Andrew Wantz P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Aaron Loup P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Ryan Tepera P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Raisel Iglesias P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
