,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Franz Wagner,5:15,2.0,4.0,50.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,01/03/2024,Sacramento Kings,10.5,OKC @ BKN
Paolo Banchero,45:21,13.0,25.0,52.0,6.0,9.0,66.7,11.0,14.0,78.6,1.0,3.0,4.0,5.0,0.0,0.0,8.0,4.0,43.0,-2.0,01/03/2024,Sacramento Kings,54.5,OKC @ BKN
Goga Bitadze,28:03,2.0,5.0,40.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,5.0,6.0,2.0,1.0,3.0,1.0,3.0,6.0,-15.0,01/03/2024,Sacramento Kings,24.0,OKC @ BKN
Gary Harris,11:33,2.0,4.0,50.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,-8.0,01/03/2024,Sacramento Kings,9.75,OKC @ BKN
Jalen Suggs,39:15,8.0,18.0,44.4,6.0,12.0,50.0,2.0,2.0,100.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,24.0,-13.0,01/03/2024,Sacramento Kings,42.75,OKC @ BKN
Trevelin Queen,38:03,2.0,7.0,28.6,0.0,3.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,6.0,2.0,1.0,0.0,5.0,5.0,1.0,01/03/2024,Sacramento Kings,22.5,OKC @ BKN
Anthony Black,24:32,4.0,7.0,57.1,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,9.0,-1.0,01/03/2024,Sacramento Kings,17.5,OKC @ BKN
Wendell Carter Jr.,21:08,3.0,7.0,42.9,3.0,3.0,100.0,0.0,0.0,0.0,1.0,6.0,7.0,3.0,0.0,0.0,1.0,4.0,9.0,9.0,01/03/2024,Sacramento Kings,23.25,OKC @ BKN
Caleb Houstan,30:56,4.0,6.0,66.7,4.0,6.0,66.7,3.0,3.0,100.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,15.0,6.0,01/03/2024,Sacramento Kings,28.5,OKC @ BKN
Moritz Wagner,12:50,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,01/03/2024,Sacramento Kings,7.25,OKC @ BKN
Chuma Okeke,27:21,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,6.0,7.0,3.0,0.0,1.0,0.0,2.0,11.0,4.0,01/03/2024,Sacramento Kings,27.75,OKC @ BKN
Admiral Schofield,5:43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,01/03/2024,Sacramento Kings,1.5,OKC @ BKN
