,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jamal Cain,34:31,4.0,12.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,9.0,-22.0,01/01/2024,LA Clippers,18.75,DEN @ GSW
Jaime Jaquez Jr.,38:29,6.0,13.0,46.2,0.0,3.0,0.0,3.0,4.0,75.0,3.0,1.0,4.0,2.0,4.0,0.0,2.0,2.0,15.0,-17.0,01/01/2024,LA Clippers,30.0,DEN @ GSW
Bam Adebayo,35:45,6.0,17.0,35.3,0.0,2.0,0.0,9.0,13.0,69.2,3.0,12.0,15.0,4.0,0.0,0.0,3.0,3.0,21.0,-12.0,01/01/2024,LA Clippers,44.25,DEN @ GSW
Tyler Herro,34:35,4.0,13.0,30.8,4.0,8.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,2.0,0.0,3.0,1.0,12.0,-29.0,01/01/2024,LA Clippers,33.0,DEN @ GSW
Kyle Lowry,24:24,3.0,5.0,60.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,8.0,-19.0,01/01/2024,LA Clippers,12.25,DEN @ GSW
Duncan Robinson,26:05,3.0,8.0,37.5,3.0,7.0,42.9,6.0,6.0,100.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,15.0,-3.0,01/01/2024,LA Clippers,20.25,DEN @ GSW
Kevin Love,22:30,7.0,11.0,63.6,1.0,5.0,20.0,2.0,2.0,100.0,2.0,2.0,4.0,3.0,0.0,2.0,1.0,2.0,17.0,5.0,01/01/2024,LA Clippers,30.5,DEN @ GSW
R.J. Hampton,11:34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,01/01/2024,LA Clippers,0.0,DEN @ GSW
Thomas Bryant,3:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,01/01/2024,LA Clippers,1.5,DEN @ GSW
Nikola Jovic,2:55,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,01/01/2024,LA Clippers,5.0,DEN @ GSW
Cole Swider,2:55,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,01/01/2024,LA Clippers,3.5,DEN @ GSW
Orlando Robinson,2:55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,01/01/2024,LA Clippers,3.75,DEN @ GSW
