,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Jaime Jaquez Jr.,35:28,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0,4.0,10.0,-18.0,01/05/2024,Phoenix Suns,17.75,OKC @ BKN
Nikola Jovic,24:16,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,-10.0,01/05/2024,Phoenix Suns,10.0,OKC @ BKN
Bam Adebayo,36:06,11.0,19.0,57.9,0.0,0.0,0.0,6.0,7.0,85.7,2.0,8.0,10.0,1.0,0.0,1.0,1.0,2.0,28.0,-16.0,01/05/2024,Phoenix Suns,43.5,OKC @ BKN
Tyler Herro,35:09,4.0,17.0,23.5,1.0,7.0,14.3,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,2.0,9.0,-25.0,01/05/2024,Phoenix Suns,23.0,OKC @ BKN
Kyle Lowry,22:59,2.0,7.0,28.6,2.0,6.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,4.0,2.0,6.0,-18.0,01/05/2024,Phoenix Suns,14.75,OKC @ BKN
Duncan Robinson,26:31,1.0,7.0,14.3,1.0,6.0,16.7,1.0,2.0,50.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,-3.0,01/05/2024,Phoenix Suns,12.75,OKC @ BKN
Kevin Love,20:04,6.0,9.0,66.7,3.0,6.0,50.0,5.0,6.0,83.3,3.0,4.0,7.0,2.0,0.0,0.0,2.0,4.0,20.0,-3.0,01/05/2024,Phoenix Suns,32.25,OKC @ BKN
Josh Richardson,28:60,2.0,9.0,22.2,1.0,6.0,16.7,5.0,5.0,100.0,1.0,7.0,8.0,7.0,2.0,0.0,0.0,3.0,10.0,-4.0,01/05/2024,Phoenix Suns,35.0,OKC @ BKN
Jamal Cain,4:42,2.0,5.0,40.0,1.0,1.0,100.0,2.0,2.0,100.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,01/05/2024,Phoenix Suns,10.0,OKC @ BKN
Cole Swider,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,01/05/2024,Phoenix Suns,-0.5,OKC @ BKN
Thomas Bryant,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,01/05/2024,Phoenix Suns,2.5,OKC @ BKN
R.J. Hampton,1:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,01/05/2024,Phoenix Suns,1.5,OKC @ BKN
