,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/05/2022,MIN,ORL @ DET,L,240,90,33,90,36.7,9,35,25.7,15,18,83.3,14,38,52,21,11,7,18,18,-8
01/02/2022,DAL,PHX @ NOP,L,240,86,35,85,41.2,10,30,33.3,6,9,66.7,7,34,41,20,11,4,11,16,-9
12/31/2021,NYK,GSW @ UTA,W,240,95,36,87,41.4,18,43,41.9,5,7,71.4,7,42,49,21,6,3,10,17,15
12/29/2021,PHX,GSW @ UTA,L,240,97,38,96,39.6,7,35,20.0,14,16,87.5,14,31,45,19,6,1,12,24,-18
12/28/2021,SAC,CLE @ NOP,L,240,111,35,90,38.9,11,33,33.3,30,36,83.3,8,37,45,16,6,6,9,21,-6
12/26/2021,NOP,CLE @ NOP,W,240,117,41,86,47.7,13,36,36.1,22,31,71.0,7,40,47,24,8,5,12,23,5
12/23/2021,PHX,DAL @ UTA,L,240,101,37,96,38.5,11,41,26.8,16,21,76.2,11,33,44,17,6,5,13,10,-12
12/22/2021,DEN,DAL @ UTA,W,240,108,42,94,44.7,8,34,23.5,16,19,84.2,15,45,60,22,7,4,11,25,14
12/20/2021,MEM,DAL @ UTA,W,240,102,36,84,42.9,11,38,28.9,19,28,67.9,9,38,47,24,7,7,14,17,3
12/18/2021,LAC,SAS @ LAC,W,240,104,43,92,46.7,12,31,38.7,6,10,60.0,17,38,55,23,4,4,16,18,1
12/15/2021,NOP,NYK @ HOU,L,240,110,39,93,41.9,13,35,37.1,19,19,100,8,34,42,22,8,4,8,25,-3
12/12/2021,DAL,GSW @ IND,L,240,84,30,80,37.5,13,37,35.1,11,16,68.8,3,36,39,19,3,7,11,25,-19
12/10/2021,LAL,GSW @ IND,L,240,95,38,96,39.6,10,44,22.7,9,14,64.3,19,32,51,21,9,3,15,17,-21
12/08/2021,TOR,LAL @ MEM,W,240,110,38,84,45.2,17,40,42.5,17,20,85.0,7,33,40,28,12,3,14,18,1
12/06/2021,DET,LAL @ MEM,W,240,114,41,82,50.0,9,25,36.0,23,30,76.7,6,34,40,22,10,11,11,13,11
12/02/2021,MEM,SAS @ PHX,L,240,79,25,76,32.9,11,38,28.9,18,22,81.8,8,18,26,14,2,5,20,14,-73
12/01/2021,HOU,CHI @ NYK,L,240,110,40,85,47.1,8,32,25.0,22,29,75.9,10,25,35,16,9,6,13,21,-4
11/29/2021,HOU,CHI @ NYK,L,240,89,31,87,35.6,7,43,16.3,20,26,76.9,4,41,45,16,10,10,13,14,-13
11/26/2021,WAS,CHA @ CHI,L,240,99,38,94,40.4,11,33,33.3,12,14,85.7,10,31,41,23,7,4,10,15,-2
11/24/2021,UTA,PHX @ NYK,L,240,104,37,82,45.1,15,36,41.7,15,22,68.2,4,39,43,21,7,4,13,18,-6
11/22/2021,ATL,PHX @ NYK,L,240,101,39,97,40.2,10,38,26.3,13,14,92.9,16,34,50,24,5,5,10,15,-12
11/20/2021,BOS,PHI @ SAC,L,240,105,39,96,40.6,18,42,42.9,9,16,56.3,15,39,54,23,5,0,10,15,-6
11/19/2021,MIL,PHI @ SAC,L,240,89,32,91,35.2,12,48,25.0,13,21,61.9,11,42,53,17,6,4,12,22,-7
11/17/2021,HOU,LAC @ NOP,W,240,101,41,92,44.6,10,39,25.6,9,16,56.3,9,47,56,18,10,6,14,19,12
11/15/2021,MIA,LAC @ NOP,L,240,90,34,83,41.0,15,41,36.6,7,10,70.0,9,33,42,26,6,10,20,15,-13
11/14/2021,BKN,BOS @ CLE,L,240,96,36,90,40.0,14,45,31.1,10,11,90.9,10,34,44,20,9,2,14,22,-24
11/12/2021,SAC,DET @ CLE,W,240,105,42,99,42.4,10,30,33.3,11,15,73.3,16,36,52,13,8,6,10,18,2
11/10/2021,NOP,DET @ CLE,W,240,108,37,87,42.5,10,34,29.4,24,30,80.0,13,43,56,23,6,4,18,23,8
11/07/2021,SAS,MIL @ PHI,W,240,99,35,94,37.2,12,42,28.6,17,20,85.0,15,42,57,21,5,7,15,14,5
11/04/2021,LAL,CHA @ SAC,W,240,107,37,87,42.5,15,41,36.6,18,26,69.2,12,38,50,23,7,2,16,16,3
11/01/2021,LAC,MIL @ DET,L,240,94,35,90,38.9,11,37,29.7,13,16,81.3,10,41,51,17,8,6,16,18,-5
10/30/2021,GSW,MIL @ DET,L,240,82,29,83,34.9,8,39,20.5,16,21,76.2,3,42,45,14,8,6,16,8,-21
10/27/2021,LAL,DEN @ MIN,W,240,123,43,86,50.0,15,37,40.5,22,29,75.9,10,32,42,21,8,3,16,16,8
10/26/2021,GSW,MIA @ BKN,L,240,98,36,86,41.9,12,34,35.3,14,17,82.4,9,33,42,19,7,3,14,18,-8
10/24/2021,PHI,MIA @ BKN,L,240,103,40,84,47.6,8,31,25.8,15,19,78.9,6,36,42,24,9,4,11,17,-12
10/22/2021,HOU,MIA @ IND,L,240,91,34,91,37.4,14,43,32.6,9,16,56.3,8,31,39,22,9,4,19,21,-33
