,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Drew Rasmussen, 4.2,6,3,2,1,4,0,3.17,22,75,50,32,8,10,8,7,3,0,45,,,-0.075, 1.31,-0.05%, 1.42, -0.8,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
Ryan Thompson, 1.1,0,0,0,0,1,0,3.86,4,7,7,4,2,1,3,0,0,0,,2,0,0.155, 1.49, 0.10%, 1.61, 1.0,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Brooks Raley, H (14)", 0.2,1,0,0,0,0,0,2.84,3,7,5,3,0,2,2,1,0,0,,0,0,0.027, 2.52, 0.02%, 2.72, 0.2,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Jason Adam, H (15)", 1.1,0,0,0,0,2,0,1.36,5,18,12,2,8,2,2,0,0,0,,1,0,0.232, 2.23, 0.15%, 2.41, 0.9,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Colin Poche, BS (4), W (3-1)", 1 ,2,1,1,1,2,1,3.27,6,28,17,9,4,4,1,2,1,0,,0,0,-0.288, 2.73,-0.19%, 2.95, -0.5,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
"Pete Fairbanks, S (1)", 1 ,0,0,0,0,1,0,6.75,3,11,9,7,1,1,1,1,0,0,,0,0,0.210, 2.64, 0.14%, 2.85, 1.2,89° F, Wind 6mph out to Rightfield, Cloudy, No Precipitation.
