,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Luis Patino, 3.1,4,2,2,1,0,2,6.75,16,56,38,27,2,9,6,8,1,0,43,,,-0.066, 0.96,-0.04%, 0.97, -0.3,72° F, Wind 0mph, In Dome.
Shawn Armstrong, 1.2,3,0,0,0,1,0,5.13,8,37,27,25,0,2,2,5,2,0,,0,0,0.072, 1.48, 0.04%, 1.50, 0.7,72° F, Wind 0mph, In Dome.
"Matt Wisler, W (3-3)", 1 ,1,0,0,0,2,0,2.45,4,18,12,5,5,2,1,1,0,0,,0,0,0.053, 0.76, 0.03%, 0.77, 0.5,72° F, Wind 0mph, In Dome.
"Ryan Thompson, H (8)", 1 ,0,0,0,0,1,0,4.40,3,8,7,5,2,0,2,0,0,0,,0,0,0.044, 0.59, 0.03%, 0.59, 0.5,72° F, Wind 0mph, In Dome.
"Colin Poche, H (11)", 1 ,2,2,2,0,2,1,2.43,5,21,14,7,2,5,1,2,1,0,,0,0,-0.063, 1.21,-0.04%, 1.23, -1.5,72° F, Wind 0mph, In Dome.
"Brooks Raley, S (6)", 1 ,0,0,0,0,0,0,2.86,3,12,8,6,0,2,0,3,1,0,,0,0,0.157, 2.10, 0.10%, 2.13, 0.5,72° F, Wind 0mph, In Dome.
