,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Shane McClanahan, W (10-3)", 6.1,3,1,1,0,6,0,1.71,20,85,57,25,18,14,7,7,4,0,69,,,0.276, 0.89, 0.17%, 0.92, 2.1,72° F, Wind 0mph, In Dome.
"Jason Adam, H (13)", 0.2,1,0,0,0,0,0,1.25,3,8,6,4,0,2,2,1,1,0,,0,0,0.035, 1.14, 0.02%, 1.17, 0.3,72° F, Wind 0mph, In Dome.
"Ryan Thompson, H (7)", 1 ,0,0,0,0,1,0,4.55,3,6,5,2,2,1,2,0,0,0,,0,0,0.040, 0.53, 0.03%, 0.55, 0.5,72° F, Wind 0mph, In Dome.
"Colin Poche, S (6)", 1 ,1,0,0,0,1,0,1.88,4,14,11,7,2,2,2,1,0,0,,0,0,0.031, 0.59, 0.02%, 0.61, 0.5,72° F, Wind 0mph, In Dome.
