IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 6 ,8,4,4,1,3,1,3.73,27,83,58,33,10,15,6,16,5,0,42,,,0.060, 0.89, 0.04%, 0.92, -1.1,72° F, Wind 0mph, In Dome.
 0.2,0,0,0,1,1,0,2.79,3,12,7,4,3,0,0,1,0,0,,0,0,0.025, 0.88, 0.01%, 0.91, 0.3,72° F, Wind 0mph, In Dome.
 0.1,0,0,0,0,0,0,4.22,1,3,2,2,0,0,1,0,0,0,,1,0,0.020, 0.69, 0.01%, 0.71, 0.2,72° F, Wind 0mph, In Dome.
 1 ,2,1,1,0,2,1,9.00,5,15,10,4,3,3,0,3,1,0,,0,0,0.008, 1.61, 0.01%, 1.66, -0.5,72° F, Wind 0mph, In Dome.
 1 ,0,0,0,0,1,0,1.41,3,12,8,4,1,3,2,0,0,0,,0,0,0.070, 0.93, 0.04%, 0.96, 0.5,72° F, Wind 0mph, In Dome.
