,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Tim Anderson SS,5,3,2,0,1,0,6,.312,.354,.412,.765,19,12,0.107, 0.55,0.108,0.000%, 0.06%, 0.48, 1.0,1,2,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Yoan Moncada 3B,6,2,2,0,0,2,6,.195,.246,.299,.544,25,14,-0.119, 0.79,0.006,-0.125%,-0.06%, 0.70, -1.1,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Luis Robert CF,5,1,3,5,0,0,5,.301,.332,.461,.793,14,10,0.248, 1.04,0.289,-0.041%, 0.13%, 0.93, 4.8,3,0,"HR,2B",83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Adam Engel PR-CF,1,0,1,0,0,0,1,.237,.296,.340,.636,1,1,0.000, 0.00,0.000,0.000%,0%, 0.00, 0.2,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
José Abreu 1B,4,1,2,2,0,0,6,.301,.382,.472,.854,19,11,0.120, 0.30,0.120,0.000%, 0.06%, 0.27, 0.4,5,1,"HBP,SF",83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Gavin Sheets RF,5,0,1,0,0,0,5,.233,.295,.386,.682,21,13,-0.013, 0.44,0.023,-0.037%,-0.01%, 0.39, -1.0,2,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Andrew Vaughn DH,5,1,2,2,0,1,5,.288,.338,.446,.784,12,10,0.066, 0.52,0.094,-0.028%, 0.03%, 0.47, 1.3,,,HR,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
AJ Pollock LF,4,1,0,0,1,1,5,.235,.277,.344,.621,17,9,-0.065, 0.48,0.000,-0.065%,-0.03%, 0.43, -0.9,3,1,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Josh Harrison 2B,4,1,2,0,1,1,5,.237,.313,.366,.679,14,8,0.005, 0.30,0.026,-0.020%, 0.00%, 0.26, 1.1,2,2,2B,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Seby Zavala C,5,2,2,3,0,0,5,.303,.349,.474,.823,17,11,0.019, 0.38,0.036,-0.017%, 0.01%, 0.33, 1.5,10,0,HR,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
Johnny Cueto P,,,,,,,,,,,,,,,,,,,,,1,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Jimmy Lambert P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Tanner Banks P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
   Jose Ruiz P,,,,,,,,,,,,,,,,,,,,,0,0,,83° F, Wind 5mph from Right to Left, Cloudy, No Precipitation.
