AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,1,1,2,0,1,4,.310,.351,.416,.767,17,12,0.182, 1.07,0.219,-0.037%, 0.10%, 1.03, 1.1,1,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
2,0,1,0,0,1,2,.228,.265,.290,.554,9,6,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.2,1,0,2B,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
6,2,2,2,0,2,6,.213,.263,.337,.600,18,13,0.020, 0.44,0.063,-0.043%, 0.01%, 0.42, 0.5,0,2,"HR,2B",87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
4,1,3,3,1,0,5,.301,.350,.470,.819,20,11,0.134, 0.56,0.154,-0.020%, 0.08%, 0.53, 2.9,5,0,"HR,2B",87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
5,1,2,0,0,0,5,.304,.387,.470,.857,19,14,-0.019, 0.35,0.016,-0.035%,-0.01%, 0.34, -0.6,,,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
4,1,0,0,1,1,5,.224,.288,.371,.660,21,12,-0.058, 0.45,0.001,-0.059%,-0.03%, 0.43, -0.8,4,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
5,1,2,3,0,2,5,.232,.304,.367,.671,17,14,-0.034, 0.42,0.014,-0.047%,-0.02%, 0.40, 2.0,0,2,HR,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
4,1,1,0,1,2,5,.205,.232,.262,.494,16,10,-0.042, 0.33,0.000,-0.042%,-0.02%, 0.31, -0.0,2,1,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
4,1,1,0,1,1,5,.286,.337,.440,.777,15,8,-0.016, 0.36,0.017,-0.033%,-0.01%, 0.35, -0.3,11,3,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
5,2,3,1,0,0,5,.256,.309,.375,.684,18,13,0.038, 0.41,0.056,-0.018%, 0.02%, 0.39, 1.9,2,0,2B,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,87° F, Wind 4mph from Left to Right, Cloudy, No Precipitation.
