,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Luis Severino, 2 ,4,4,4,2,1,3,3.45,12,43,27,20,4,3,5,4,1,0,31,,,-0.266, 0.92,-0.04%, 0.22, -3.0,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
JP Sears, 3.2,2,2,2,1,5,0,1.42,14,45,33,13,5,15,2,6,3,0,,0,0,-0.090, 1.22,-0.01%, 0.29, -0.0,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Albert Abreu, 1 ,2,0,0,0,1,0,2.42,4,19,14,7,2,5,2,1,1,0,,0,0,0.043, 0.74, 0.01%, 0.18, 0.4,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Wandy Peralta, 0.1,0,0,0,0,1,0,2.41,1,6,3,0,2,1,0,0,0,0,,1,0,0.027, 0.95, 0.00%, 0.23, 0.2,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Aroldis Chapman, 1 ,0,0,0,1,1,0,4.50,4,20,11,4,5,2,1,1,0,0,,0,0,0.054, 0.85, 0.01%, 0.20, 0.5,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
Clay Holmes, 1 ,1,0,0,1,1,0,1.34,5,23,12,6,2,4,2,1,0,0,,0,0,0.142, 3.59, 0.02%, 0.86, 0.5,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
"Michael King, W (6-1)", 1 ,1,0,0,0,1,0,2.23,3,10,7,2,3,2,2,0,0,0,,0,0,0.314, 4.94, 0.04%, 1.18, 1.1,86° F, Wind 9mph out to Leftfield, Sunny, No Precipitation.
