IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 7 ,4,2,2,0,12,1,3.02,24,103,70,32,18,20,6,6,4,0,73,,,0.038, 0.43, 0.01%, 0.11, 1.6,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,0,0,0,0,2,0,3.09,3,15,9,2,2,5,1,0,0,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
 1 ,2,0,0,0,2,0,7.85,5,18,12,7,3,2,2,1,1,0,,0,0,0.000, 0.00, 0.00%, 0.00, 0.5,80° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation.
