,INT,INT TD,INT Yds,Lng
 Kevin Byard ,8,0,130,33
 Darius Slay ,8,0,73,37
 A.J. Bouye ,6,0,70,51
 Eric Weddle ,6,1,85,45
 Antoine Bethea ,5,0,51,21
 Tre Boston ,5,0,49,25
 Micah Hyde ,5,0,64,37
 Marshon Lattimore ,5,1,85,33
 Marcus Peters ,5,0,137,62
 Jordan Poyer ,5,1,33,19
 Harrison Smith ,5,0,42,19
 Brandon Carr ,4,0,57,33
 Barry Church ,4,1,51,51
 Kendall Fuller ,4,0,4,3
 Tashaun Gipson ,4,0,83,67
 Duron Harmon ,4,0,12,12
 Casey Hayward ,4,0,7,7
 Xavien Howard ,4,1,71,30
 Terrance Mitchell ,4,0,40,40
 Jalen Ramsey ,4,0,34,18
 Damarious Randall ,4,1,35,21
 Patrick Robinson ,4,0,36,19
 D.J. Swearinger ,4,0,32,31
 Tre'Davious White ,4,0,86,63
 Marcus Williams ,4,0,12,12
