,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
 Jarvis Landry ,112,987,9,6,1,49,60,53.6,3,525,160
 Larry Fitzgerald ,109,1156,6,16,0,37,66,60.6,1,424,162
 Michael Thomas ,104,1245,5,22,1,43,70,67.3,0,460,149
 Keenan Allen ,102,1393,6,18,4,51,74,72.6,1,518,159
 Antonio Brown ,101,1533,9,27,7,57,71,70.3,3,492,162
 DeAndre Hopkins ,96,1378,13,24,2,72,69,71.9,1,348,176
 Golden Tate ,92,1003,5,10,3,71,44,47.8,1,629,122
 Adam Thielen ,91,1276,4,20,5,65,59,64.8,3,441,143
 Julio Jones ,88,1444,3,23,4,53,67,76.1,0,499,149
 Le'Veon Bell ,85,655,2,5,1,42,31,36.5,1,699,107
 Travis Kelce ,83,1038,8,19,1,44,55,66.3,0,441,123
 Demaryius Thomas ,83,949,5,15,1,40,53,63.9,1,299,141
 Alvin Kamara ,81,826,5,11,1,40,38,46.9,0,706,100
 Jack Doyle ,80,690,4,4,0,26,34,42.5,2,340,107
 Christian McCaffrey ,80,651,5,7,0,37,36,45,0,610,113
 Doug Baldwin ,75,991,8,18,3,54,44,58.7,0,268,117
 A.J. Green ,75,1078,8,9,4,77,55,73.3,2,316,145
 Tyreek Hill ,75,1183,7,15,9,79,41,54.7,0,467,105
 Davante Adams ,74,885,10,8,3,55,45,60.8,0,357,117
 Zach Ertz ,74,824,8,7,2,53,46,62.2,1,262,110
 Duke Johnson ,74,693,3,9,1,41,31,41.9,2,637,93
 Delanie Walker ,74,807,3,9,1,42,43,58.1,2,260,111
 Mike Evans ,71,1001,5,9,2,42,55,77.5,1,132,135
 Dez Bryant ,69,838,6,8,2,50,44,63.8,1,291,133
 Rob Gronkowski ,69,1084,8,18,2,53,57,82.6,1,373,106
