,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
 Stephen Gostkowski ,99,6228,1095,40,40.4,58,18.9,1,0,0,0
 Greg Zuerlein ,95,6147,411,73,76.8,20,20.6,0,0,2,0
 Wil Lutz ,94,6011,788,58,61.7,32,24.6,3,0,1,0
 Chris Boswell ,90,5720,906,46,51.1,43,21.1,0,0,1,0
 Justin Tucker ,90,5610,615,55,61.1,33,18.6,2,0,0,0
 Kai Forbath ,88,5587,1009,44,50,44,22.9,0,0,0,0
 Matt Bosher ,84,5332,863,49,58.3,33,26.2,2,0,0,0
 Jake Elliott ,84,5258,857,42,50,40,21.4,1,1,1,0
 Graham Gano ,83,5313,254,70,84.3,12,21.2,1,0,1,0
 Ryan Succop ,80,5120,750,47,58.8,32,23.4,1,0,0,0
 Bradley Pinion ,79,5100,300,64,81,13,23.1,0,0,1,0
 Harrison Butker ,78,5006,318,61,78.2,17,18.7,0,0,0,0
 Blair Walsh ,78,4861,738,39,50,37,20,1,0,1,0
 Phil Dawson ,76,4647,863,34,44.7,39,22.1,2,0,1,1
 Ka'imi Fairbairn ,75,4718,542,49,65.3,26,20.8,1,0,0,0
 Steven Hauschka ,74,4365,681,37,50,31,22,6,1,0,0
 Chandler Catanzaro ,71,4349,455,45,63.4,22,20.7,4,1,1,0
 Brandon McManus ,71,4191,460,45,63.4,20,23,6,0,0,1
 Rigoberto Sanchez ,70,4390,441,46,65.7,23,19.2,1,0,0,0
 Mason Crosby ,68,4246,665,36,52.9,30,22.2,2,2,0,0
 Cody Parkey ,67,4015,665,28,41.8,34,19.6,5,4,0,0
 Randy Bullock ,65,4109,782,30,46.2,34,23,0,0,1,0
 Giorgio Tavecchio ,64,4058,298,48,75,15,19.9,1,1,0,0
 Aldrick Rosas ,62,3849,656,26,41.9,32,20.5,2,0,2,0
 Patrick Murray ,59,3590,1081,14,23.7,43,25.1,2,0,0,2
