,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
 Kareem Hunt ,1327,272,8,12,3,69,60,22.1,1
 Todd Gurley ,1305,279,13,8,1,57,66,23.7,5
 Le'Veon Bell ,1291,321,9,3,0,27,74,23,2
 LeSean McCoy ,1138,287,6,12,1,48,55,19.2,3
 Mark Ingram ,1124,230,12,11,3,72,50,21.7,2
 Jordan Howard ,1122,276,9,5,3,53,61,22.1,1
 Melvin Gordon ,1105,284,8,5,1,87,58,20.4,1
 Leonard Fournette ,1040,268,9,4,2,90,46,17.2,2
 C.J. Anderson ,1007,245,3,7,1,40,47,19.2,1
 Ezekiel Elliott ,983,242,7,5,0,30,55,22.7,1
 Alex Collins ,973,212,6,6,1,50,51,24.1,2
 Frank Gore ,961,261,3,1,0,21,49,18.8,3
 Carlos Hyde ,938,240,8,6,1,61,44,18.3,2
 Dion Lewis ,896,180,6,7,1,44,48,26.7,0
 Marshawn Lynch ,891,207,7,5,1,51,44,21.3,1
 Lamar Miller ,888,238,3,1,0,21,43,18.1,1
 Jay Ajayi ,873,208,1,6,2,71,39,18.8,3
 Devonta Freeman ,865,196,7,5,1,44,48,24.5,4
 Isaiah Crowell ,853,206,2,5,1,59,38,18.4,1
 Latavius Murray ,842,216,8,7,1,46,42,19.4,1
 Bilal Powell ,772,178,5,9,4,75,30,16.8,0
 LeGarrette Blount ,766,173,2,7,1,68,30,17.3,1
 Cam Newton ,754,139,6,5,2,69,46,33.1,6
 Orleans Darkwa ,751,171,5,6,2,75,33,19.3,1
 Derrick Henry ,744,176,5,5,2,75,39,22.2,1
