,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
 Bryce Callahan ,59,1,59,1,1,1,59,0,0
 Adam Jones ,21.8,6,131,0,3,1,40,0,0
 Dede Westbrook ,19,1,19,0,0,0,19,0,0
 Jamal Agnew ,15.4,29,447,2,6,2,88,16,3
 Will Fuller ,15,9,135,0,2,1,49,6,0
 Pharoh Cooper ,12.5,32,399,0,8,2,53,8,2
 Trevor Davis ,12,24,289,0,3,1,65,22,0
 Golden Tate ,11.5,2,23,0,0,0,13,2,0
 Bobby Rainey ,11,2,22,0,0,0,13,0,0
 Michael Campanaro ,10.8,27,291,1,2,1,77,18,4
 Jaydon Mickens ,10.6,27,287,1,3,2,72,19,3
 Elijah McGuire ,10,1,10,0,0,0,10,2,0
 Darren Sproles ,10,1,10,0,0,0,10,5,1
 Bernard Reedy ,9.7,18,175,0,1,1,44,7,1
 Brandon Tate ,9.6,20,193,0,2,1,40,6,1
 Marcus Sherels ,9.5,39,372,0,3,1,46,24,1
 Travis Benjamin ,9.5,27,257,1,4,2,65,25,2
 Cole Beasley ,9.5,2,19,0,0,0,15,5,0
 Bruce Ellington ,9.4,5,47,0,1,0,21,4,0
 Tarik Cohen ,9.4,29,272,1,3,1,61,15,1
 Trent Taylor ,9.4,30,281,0,2,0,39,16,1
 Jordan Taylor ,9.4,11,103,0,1,0,24,14,1
 Hunter Sharp ,9.2,8,74,0,0,0,16,4,0
 Damiere Byrd ,9,1,9,0,0,0,9,0,0
 Brittan Golden ,9,7,63,0,0,0,15,1,0
