,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
 Damiere Byrd ,32.7,7,229,1,6,1,103,0,0
 Alvin Kamara ,31.6,11,347,1,8,2,106,0,0
 Bobby Rainey ,30.7,11,338,1,10,1,96,0,0
 Brendan Langley ,30.5,6,183,0,4,2,61,0,0
 De'Angelo Henderson Sr. ,29.5,2,59,0,2,0,32,0,0
 Cordarrelle Patterson ,28.3,19,538,0,15,4,49,0,3
 Pharoh Cooper ,27.4,34,932,1,29,3,103,0,1
 JuJu Smith-Schuster ,26.7,9,240,1,6,1,96,0,0
 Chris Moore ,26.6,13,346,0,8,1,87,0,0
 Michael Campanaro ,26.5,6,159,0,4,1,40,0,0
 Jerick McKinnon ,26,12,312,0,10,0,39,0,1
 Tyler Lockett ,25.6,37,949,1,25,3,99,0,0
 Alex Collins ,25,2,50,0,2,0,27,0,0
 Taiwan Jones ,25,2,50,0,2,0,27,0,0
 Ryan Switzer ,25,24,600,0,16,1,61,0,0
 Corey Grant ,24.9,19,473,0,13,1,68,0,1
 Dion Lewis ,24.8,23,570,1,13,2,103,0,0
 Marcus Sherels ,24.6,11,271,0,10,0,32,0,0
 Corey Clement ,24.5,2,49,0,1,0,35,0,0
 Akeem Hunt ,24.4,25,611,0,17,2,42,0,0
 Matt Dayes ,24.3,18,437,0,9,2,71,0,0
 Patrick DiMarco ,24,1,24,0,1,0,24,0,0
 Samaje Perine ,24,2,48,0,2,0,28,0,0
 Quan Bray ,23.9,18,430,0,11,1,60,0,1
 Cody Latimer ,23.8,8,190,0,7,0,36,0,1
