,FF,FR,FR TD
 Yannick Ngakoue ,6,0,0
 Lavonte David ,5,0,0
 Aaron Donald ,5,0,0
 Joey Bosa ,4,0,0
 Bruce Irvin ,4,0,0
 Malik Jackson ,4,0,0
 Chris Jones ,4,0,0
 Demarcus Lawrence ,4,0,0
 Chris Long ,4,0,0
 Marcus Peters ,4,0,0
 Glover Quin ,4,0,0
 Terrell Suggs ,4,0,0
 Lorenzo Alexander ,3,0,0
 Malcolm Butler ,3,0,0
 Calais Campbell ,3,0,0
 Chris Conte ,3,0,0
 E.J. Gaines ,3,0,0
 Everson Griffen ,3,0,0
 Wes Horton ,3,0,0
 Adoree' Jackson ,3,0,0
 Ryan Kerrigan ,3,0,0
 Cassius Marsh ,3,0,0
 Barkevious Mingo ,3,0,0
 C.J. Mosley ,3,0,0
 Keanu Neal ,3,0,0
