,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Isaac Okoro,27:02,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,-17.0,01/07/2024,San Antonio Spurs,10.25,PHX @ LAC
Dean Wade,10:58,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,-21.0,01/07/2024,San Antonio Spurs,3.5,PHX @ LAC
Jarrett Allen,31:09,11.0,19.0,57.9,0.0,0.0,0.0,7.0,7.0,100.0,5.0,11.0,16.0,2.0,1.0,1.0,1.0,3.0,29.0,-10.0,01/07/2024,San Antonio Spurs,55.5,PHX @ LAC
Max Strus,37:28,3.0,11.0,27.3,2.0,9.0,22.2,0.0,0.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0,2.0,2.0,8.0,-9.0,01/07/2024,San Antonio Spurs,24.25,PHX @ LAC
Donovan Mitchell,36:52,7.0,18.0,38.9,1.0,10.0,10.0,2.0,4.0,50.0,0.0,2.0,2.0,9.0,1.0,0.0,4.0,1.0,17.0,-6.0,01/07/2024,San Antonio Spurs,33.5,PHX @ LAC
Caris LeVert,26:28,9.0,13.0,69.2,4.0,5.0,80.0,1.0,3.0,33.3,0.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,23.0,3.0,01/07/2024,San Antonio Spurs,34.0,PHX @ LAC
Sam Merrill,22:37,5.0,11.0,45.5,5.0,9.0,55.6,3.0,3.0,100.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,23.0,01/07/2024,San Antonio Spurs,28.75,PHX @ LAC
Tristan Thompson,16:51,3.0,4.0,75.0,0.0,0.0,0.0,2.0,4.0,50.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,4.0,8.0,12.0,01/07/2024,San Antonio Spurs,15.5,PHX @ LAC
Georges Niang,26:55,4.0,7.0,57.1,3.0,6.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,2.0,11.0,27.0,01/07/2024,San Antonio Spurs,20.5,PHX @ LAC
Craig Porter Jr.,3:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,01/07/2024,San Antonio Spurs,4.75,PHX @ LAC
