,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Isaac Okoro,21:36,2.0,5.0,40.0,0.0,0.0,0.0,4.0,6.0,66.7,2.0,2.0,4.0,0.0,1.0,0.0,3.0,2.0,8.0,16.0,01/05/2024,Washington Wizards,13.5,PHX @ LAC
Dean Wade,21:37,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,6.0,20.0,01/05/2024,Washington Wizards,16.75,PHX @ LAC
Jarrett Allen,28:31,5.0,7.0,71.4,0.0,0.0,0.0,2.0,2.0,100.0,6.0,6.0,12.0,3.0,2.0,1.0,4.0,2.0,12.0,16.0,01/05/2024,Washington Wizards,35.5,PHX @ LAC
Max Strus,30:09,4.0,6.0,66.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,3.0,1.0,9.0,10.0,01/05/2024,Washington Wizards,18.75,PHX @ LAC
Donovan Mitchell,25:31,8.0,15.0,53.3,5.0,8.0,62.5,5.0,8.0,62.5,1.0,1.0,2.0,4.0,1.0,0.0,3.0,2.0,26.0,22.0,01/05/2024,Washington Wizards,37.5,PHX @ LAC
Caris LeVert,27:28,3.0,7.0,42.9,1.0,2.0,50.0,4.0,4.0,100.0,0.0,4.0,4.0,11.0,2.0,0.0,2.0,0.0,11.0,13.0,01/05/2024,Washington Wizards,36.0,PHX @ LAC
Sam Merrill,26:24,4.0,12.0,33.3,3.0,9.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,11.0,8.0,01/05/2024,Washington Wizards,20.0,PHX @ LAC
Georges Niang,24:42,5.0,9.0,55.6,4.0,8.0,50.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,0.0,1.0,2.0,14.0,3.0,01/05/2024,Washington Wizards,28.25,PHX @ LAC
Tristan Thompson,16:51,4.0,5.0,80.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,6.0,8.0,7.0,01/05/2024,Washington Wizards,15.0,PHX @ LAC
Craig Porter Jr.,11:47,3.0,6.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,3.0,4.0,4.0,1.0,0.0,5.0,2.0,7.0,4.0,01/05/2024,Washington Wizards,17.5,PHX @ LAC
Damian Jones,5:24,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,01/05/2024,Washington Wizards,3.25,PHX @ LAC
