,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Isaac Okoro,32:23,4.0,7.0,57.1,1.0,2.0,50.0,2.0,3.0,66.7,4.0,3.0,7.0,6.0,0.0,1.0,0.0,1.0,11.0,-2.0,12/18/2023,Houston Rockets,31.25,HOU @ CLE
Dean Wade,21:32,4.0,5.0,80.0,2.0,3.0,66.7,2.0,2.0,100.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,12.0,-1.0,12/18/2023,Houston Rockets,23.25,HOU @ CLE
Jarrett Allen,28:36,3.0,7.0,42.9,0.0,0.0,0.0,4.0,7.0,57.1,2.0,4.0,6.0,2.0,0.0,2.0,1.0,5.0,10.0,-4.0,12/18/2023,Houston Rockets,24.0,HOU @ CLE
Max Strus,34:15,5.0,13.0,38.5,3.0,9.0,33.3,4.0,5.0,80.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,17.0,2.0,12/18/2023,Houston Rockets,25.25,HOU @ CLE
Donovan Mitchell,45:25,14.0,27.0,51.9,4.0,11.0,36.4,5.0,5.0,100.0,0.0,1.0,1.0,6.0,0.0,2.0,2.0,5.0,37.0,4.0,12/18/2023,Houston Rockets,52.25,HOU @ CLE
Craig Porter Jr.,8:45,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,12/18/2023,Houston Rockets,10.0,HOU @ CLE
Caris LeVert,27:30,5.0,13.0,38.5,1.0,6.0,16.7,1.0,2.0,50.0,1.0,6.0,7.0,5.0,2.0,0.0,3.0,0.0,12.0,-3.0,12/18/2023,Houston Rockets,31.25,HOU @ CLE
Sam Merrill,24:03,6.0,11.0,54.5,5.0,10.0,50.0,2.0,2.0,100.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,19.0,13.0,12/18/2023,Houston Rockets,35.0,HOU @ CLE
Georges Niang,24:49,4.0,10.0,40.0,2.0,6.0,33.3,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,5.0,10.0,10.0,12/18/2023,Houston Rockets,16.0,HOU @ CLE
Tristan Thompson,17:42,1.0,2.0,50.0,0.0,0.0,0.0,2.0,8.0,25.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,12/18/2023,Houston Rockets,11.75,HOU @ CLE
