,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Mikal Bridges,39:16,7.0,11.0,63.6,2.0,5.0,40.0,2.0,3.0,66.7,0.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,18.0,20.0,02/10/2022,Milwaukee Bucks,26.75
Jae Crowder,31:58,3.0,11.0,27.3,2.0,9.0,22.2,2.0,2.0,100.0,1.0,7.0,8.0,2.0,0.0,0.0,0.0,3.0,10.0,12.0,02/10/2022,Milwaukee Bucks,24.0
Deandre Ayton,26:35,12.0,14.0,85.7,0.0,0.0,0.0,3.0,4.0,75.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,3.0,27.0,21.0,02/10/2022,Milwaukee Bucks,39.25
Devin Booker,34:18,6.0,19.0,31.6,2.0,8.0,25.0,3.0,3.0,100.0,1.0,3.0,4.0,7.0,1.0,0.0,2.0,4.0,17.0,11.0,02/10/2022,Milwaukee Bucks,34.5
Chris Paul,36:51,5.0,11.0,45.5,0.0,3.0,0.0,7.0,7.0,100.0,0.0,7.0,7.0,19.0,2.0,0.0,2.0,1.0,17.0,20.0,02/10/2022,Milwaukee Bucks,57.25
JaVale McGee,15:21,6.0,9.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,2.0,2.0,12.0,-4.0,02/10/2022,Milwaukee Bucks,22.0
Cameron Johnson,26:05,6.0,8.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,3.0,5.0,8.0,3.0,2.0,0.0,1.0,1.0,15.0,18.0,02/10/2022,Milwaukee Bucks,34.5
Elfrid Payton,9:12,2.0,2.0,100.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,02/10/2022,Milwaukee Bucks,5.0
Bismack Biyombo,10:41,4.0,5.0,80.0,0.0,0.0,0.0,1.0,4.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,9.0,02/10/2022,Milwaukee Bucks,11.5
Ish Wainright,9:43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,02/10/2022,Milwaukee Bucks,7.0
