,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Andrew Wiggins,25:39,7.0,10.0,70.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,5.0,17.0,3.0,05/07/2022,29.25
Jonathan Kuminga,17:35,8.0,10.0,80.0,2.0,4.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,18.0,-2.0,05/07/2022,21.0
Draymond Green,26:47,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,0.0,5.0,5.0,8.0,0.0,1.0,4.0,4.0,5.0,19.0,05/07/2022,23.25
Klay Thompson,35:04,8.0,14.0,57.1,4.0,6.0,66.7,1.0,1.0,100.0,0.0,9.0,9.0,4.0,0.0,0.0,2.0,1.0,21.0,22.0,05/07/2022,39.25
Stephen Curry,34:42,7.0,14.0,50.0,2.0,8.0,25.0,14.0,14.0,100.0,0.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,30.0,21.0,05/07/2022,44.0
Otto Porter Jr.,24:24,5.0,7.0,71.4,3.0,5.0,60.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,13.0,30.0,05/07/2022,29.0
Jordan Poole,31:09,11.0,17.0,64.7,3.0,5.0,60.0,2.0,2.0,100.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,27.0,33.0,05/07/2022,35.5
Kevon Looney,17:01,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,7.0,05/07/2022,14.25
Damion Lee,14:33,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,10.0,05/07/2022,11.75
Juan Toscano-Anderson,4:43,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,05/07/2022,4.25
Nemanja Bjelica,4:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,05/07/2022,0.75
Moses Moody,4:12,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,05/07/2022,6.75
