,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Andrew Wiggins,37:11,9.0,16.0,56.3,1.0,3.0,33.3,1.0,2.0,50.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,20.0,5.0,04/24/2022,37.0
Draymond Green,34:04,5.0,6.0,83.3,0.0,1.0,0.0,3.0,3.0,100.0,0.0,11.0,11.0,6.0,2.0,0.0,2.0,6.0,13.0,18.0,04/24/2022,38.75
Kevon Looney,11:50,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,04/24/2022,11.25
Klay Thompson,30:42,12.0,20.0,60.0,7.0,11.0,63.6,1.0,2.0,50.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,5.0,32.0,9.0,04/24/2022,43.5
Jordan Poole,38:35,3.0,10.0,30.0,1.0,5.0,20.0,4.0,4.0,100.0,2.0,0.0,2.0,9.0,3.0,0.0,3.0,2.0,11.0,-6.0,04/24/2022,32.0
Stephen Curry,36:50,10.0,23.0,43.5,3.0,11.0,27.3,10.0,14.0,71.4,0.0,3.0,3.0,8.0,4.0,1.0,2.0,1.0,33.0,-4.0,04/24/2022,59.25
Otto Porter Jr.,15:27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,-16.0,04/24/2022,3.75
Gary Payton II,6:48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.0,04/24/2022,2.0
Nemanja Bjelica,4:50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.0,04/24/2022,2.75
Andre Iguodala,12:32,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,-10.0,04/24/2022,0.25
Jonathan Kuminga,11:11,3.0,4.0,75.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-3.0,04/24/2022,9.0
