,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Klay Thompson,41:10,5.0,19.0,26.3,2.0,12.0,16.7,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,12.0,-9.0,05/03/2022,25.5
Andrew Wiggins,38:06,6.0,16.0,37.5,1.0,7.0,14.3,3.0,4.0,75.0,5.0,4.0,9.0,2.0,1.0,1.0,3.0,3.0,16.0,3.0,05/03/2022,33.25
Draymond Green,32:22,3.0,5.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,7.0,0.0,1.0,4.0,5.0,6.0,-10.0,05/03/2022,29.0
Gary Payton II,2:52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,05/03/2022,1.0
Stephen Curry,39:26,11.0,25.0,44.0,3.0,11.0,27.3,2.0,2.0,100.0,3.0,6.0,9.0,8.0,1.0,0.0,5.0,1.0,27.0,-11.0,05/03/2022,51.25
Jordan Poole,33:45,8.0,16.0,50.0,1.0,6.0,16.7,3.0,3.0,100.0,1.0,2.0,3.0,5.0,0.0,0.0,3.0,5.0,20.0,2.0,05/03/2022,30.25
Kevon Looney,8:56,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,-3.0,05/03/2022,9.0
Damion Lee,8:06,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-5.0,05/03/2022,2.75
Otto Porter Jr.,21:13,1.0,4.0,25.0,0.0,1.0,0.0,2.0,2.0,100.0,3.0,6.0,9.0,2.0,1.0,0.0,1.0,3.0,4.0,17.0,05/03/2022,19.75
Jonathan Kuminga,14:02,3.0,7.0,42.9,0.0,0.0,0.0,3.0,3.0,100.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,05/03/2022,15.25
Juan Toscano-Anderson,0:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,05/03/2022,0.0
