,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Andrew Wiggins,29:29,6.0,11.0,54.5,1.0,2.0,50.0,3.0,4.0,75.0,1.0,8.0,9.0,2.0,1.0,0.0,1.0,2.0,16.0,16.0,04/16/2022,32.25
Draymond Green,28:55,5.0,7.0,71.4,1.0,2.0,50.0,1.0,1.0,100.0,1.0,5.0,6.0,9.0,0.0,3.0,0.0,2.0,12.0,21.0,04/16/2022,39.5
Kevon Looney,13:09,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,6.0,-7.0,04/16/2022,14.75
Klay Thompson,29:05,7.0,15.0,46.7,5.0,10.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,19.0,5.0,04/16/2022,26.75
Jordan Poole,30:06,9.0,13.0,69.2,5.0,7.0,71.4,7.0,8.0,87.5,0.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,30.0,7.0,04/16/2022,36.75
Stephen Curry,21:41,5.0,13.0,38.5,3.0,6.0,50.0,3.0,3.0,100.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,16.0,17.0,04/16/2022,28.75
Otto Porter Jr.,25:05,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,21.0,04/16/2022,14.75
Nemanja Bjelica,14:57,3.0,6.0,50.0,0.0,2.0,0.0,2.0,5.0,40.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,8.0,1.0,04/16/2022,16.25
Gary Payton II,19:40,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,12.0,04/16/2022,13.75
Andre Iguodala,13:25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,11.0,04/16/2022,10.5
Juan Toscano-Anderson,3:37,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-6.0,04/16/2022,4.75
Jonathan Kuminga,3:37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-6.0,04/16/2022,4.0
Damion Lee,3:37,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-6.0,04/16/2022,4.5
Moses Moody,3:37,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-6.0,04/16/2022,4.5
