,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Klay Thompson,30:34,6.0,19.0,31.6,3.0,10.0,30.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,15.0,0.0,05/01/2022,28.25
Andrew Wiggins,34:23,6.0,14.0,42.9,1.0,5.0,20.0,4.0,7.0,57.1,3.0,5.0,8.0,1.0,0.0,0.0,1.0,3.0,17.0,0.0,05/01/2022,28.5
Draymond Green,17:01,2.0,3.0,66.7,0.0,0.0,0.0,2.0,3.0,66.7,1.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,6.0,2.0,05/01/2022,21.0
Gary Payton II,23:12,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,3.0,1.0,1.0,4.0,4.0,8.0,1.0,05/01/2022,23.25
Stephen Curry,37:05,8.0,20.0,40.0,5.0,12.0,41.7,3.0,4.0,75.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,5.0,24.0,-9.0,05/01/2022,37.75
Jordan Poole,37:29,12.0,20.0,60.0,5.0,10.0,50.0,2.0,2.0,100.0,3.0,5.0,8.0,9.0,0.0,2.0,4.0,3.0,31.0,10.0,05/01/2022,59.0
Otto Porter Jr.,22:32,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,05/01/2022,22.0
Kevon Looney,18:44,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,0.0,1.0,2.0,8.0,-2.0,05/01/2022,20.0
Damion Lee,3:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,05/01/2022,2.25
Jonathan Kuminga,15:28,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,2.0,6.0,-2.0,05/01/2022,16.5
Juan Toscano-Anderson,0:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05/01/2022,0.0
