,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/22/1994,NJN,ORL @ PHL,L,240,98,42,94,44.7,2,10,20.0,12,16,75.0,19,27,46,25,6,10,19,21,-26
01/21/1994,BOS,ORL @ PHL,L,240,116,45,92,48.9,7,12,58.3,19,30,63.3,13,28,41,27,8,8,19,29,-8
01/19/1994,ATL,ORL @ PHL,W,240,120,46,76,60.5,3,6,50.0,25,35,71.4,11,30,41,26,9,2,27,18,1
01/17/1994,PHX,LAC @ ORL,W,240,104,39,82,47.6,3,7,42.9,23,32,71.9,15,28,43,31,8,11,15,19,5
01/14/1994,SEA,MIA @ SEA,W,240,121,48,88,54.5,7,11,63.6,18,27,66.7,19,28,47,34,9,5,18,19,21
01/12/1994,MIA,MIA @ SEA,W,240,100,41,79,51.9,0,4,0.0,18,27,66.7,16,25,41,28,7,2,11,20,8
01/11/1994,LAL,LAC @ PHL,W,240,122,39,77,50.6,2,5,40.0,42,55,76.4,11,29,40,23,13,5,19,24,5
01/09/1994,PHX,LAC @ PHL,L,240,107,40,78,51.3,5,11,45.5,22,39,56.4,7,23,30,21,6,7,12,20,-15
01/06/1994,SAN,PHL @ HOU,W,240,102,39,79,49.4,3,8,37.5,21,43,48.8,11,25,36,29,11,10,8,23,4
01/04/1994,SAC,DET @ CHI,W,240,115,44,84,52.4,3,5,60.0,24,39,61.5,10,27,37,30,13,7,13,21,3
12/30/1993,DEN,DET @ CHI,L,240,96,34,85,40.0,0,5,0.0,28,34,82.4,13,39,52,22,10,13,19,29,-5
12/28/1993,PHL,PHL @ PHX,L,240,90,39,93,41.9,0,11,0.0,12,16,75.0,12,27,39,23,11,9,17,20,-17
12/26/1993,POR,PHL @ PHX,W,265,108,46,90,51.1,5,9,55.6,11,18,61.1,12,34,46,25,13,7,21,20,2
12/23/1993,LAC,MIN @ DEN,W,240,141,62,103,60.2,3,15,20.0,14,25,56.0,16,38,54,43,15,4,17,19,46
12/21/1993,POR,HOU @ SAN,L,240,98,43,82,52.4,1,9,11.1,11,18,61.1,13,29,42,28,8,8,17,24,-2
12/18/1993,SEA,HOU @ SAN,L,240,111,40,85,47.1,3,15,20.0,28,37,75.7,19,32,51,20,6,8,25,27,-15
12/17/1993,SAC,MIN @ LAC,W,240,109,44,92,47.8,6,13,46.2,15,29,51.7,14,40,54,28,14,6,15,21,15
12/15/1993,PHX,MIN @ LAC,L,240,104,43,89,48.3,4,10,40.0,14,23,60.9,17,24,41,24,12,5,16,26,-6
12/12/1993,LAL,LAL @ DET,W,240,100,37,84,44.0,4,10,40.0,22,29,75.9,13,22,35,23,11,4,11,16,3
12/11/1993,UTH,LAL @ DET,W,265,115,45,87,51.7,1,8,12.5,24,43,55.8,14,34,48,30,9,3,17,17,3
12/09/1993,NYK,SAC @ PHL,L,240,81,33,90,36.7,3,16,18.8,12,22,54.5,25,23,48,17,10,4,18,20,-13
12/07/1993,DEN,DEN @ GOS,W,240,95,36,74,48.6,1,5,20.0,22,32,68.8,15,32,47,30,6,3,23,27,5
12/04/1993,IND,DEN @ GOS,W,240,99,40,90,44.4,4,10,40.0,15,22,68.2,18,21,39,22,14,2,15,20,7
12/02/1993,MIN,DEN @ GOS,L,240,91,38,78,48.7,0,5,0.0,15,28,53.6,13,29,42,19,8,10,24,28,-12
11/30/1993,DAL,IND @ UTH,W,240,103,45,86,52.3,3,9,33.3,10,19,52.6,12,29,41,30,12,8,19,15,12
11/28/1993,DET,IND @ UTH,W,240,91,32,77,41.6,4,9,44.4,23,33,69.7,15,41,56,19,4,3,15,22,3
11/26/1993,PHL,PHL @ ATL,W,240,100,40,88,45.5,3,11,27.3,17,18,94.4,17,31,48,26,7,3,14,21,12
11/24/1993,MIA,PHL @ ATL,W,240,108,40,80,50.0,2,5,40.0,26,33,78.8,14,27,41,22,7,7,12,21,6
11/23/1993,ORL,BOS @ DET,L,240,107,44,97,45.4,4,19,21.1,15,21,71.4,19,22,41,23,8,3,16,28,-13
11/20/1993,SEA,BOS @ DET,L,240,97,36,96,37.5,4,15,26.7,21,28,75.0,20,26,46,21,6,7,18,24,-15
11/18/1993,LAL,CHH @ ATL,W,240,103,42,96,43.8,5,13,38.5,14,27,51.9,26,33,59,25,10,10,17,24,27
11/16/1993,PHX,UTH @ ORL,L,240,104,44,87,50.6,4,12,33.3,12,16,75.0,14,21,35,28,6,7,14,27,-12
11/13/1993,DEN,UTH @ ORL,W,240,106,43,86,50.0,1,9,11.1,19,26,73.1,20,29,49,16,7,9,23,23,8
11/12/1993,CLE,DET @ UTH,L,240,93,38,79,48.1,4,12,33.3,13,25,52.0,13,21,34,24,4,3,17,19,-9
11/09/1993,HOU,DET @ UTH,L,240,93,38,80,47.5,4,12,33.3,13,20,65.0,9,29,38,23,11,2,15,22,-9
11/06/1993,DAL,IND @ ORL,W,240,93,33,66,50.0,1,6,16.7,26,36,72.2,12,27,39,18,5,8,17,26,4
