,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Cam Reddish,18:40,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,-7.0,01/03/2024,Miami Heat,-0.5,OKC @ BKN
LeBron James,38:10,6.0,18.0,33.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,0.0,0.0,2.0,2.0,12.0,-20.0,01/03/2024,Miami Heat,32.0,OKC @ BKN
Anthony Davis,42:47,10.0,17.0,58.8,0.0,1.0,0.0,9.0,10.0,90.0,3.0,14.0,17.0,6.0,3.0,5.0,5.0,2.0,29.0,-13.0,01/03/2024,Miami Heat,72.75,OKC @ BKN
Taurean Prince,28:48,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,-14.0,01/03/2024,Miami Heat,8.75,OKC @ BKN
Austin Reaves,36:46,7.0,12.0,58.3,2.0,6.0,33.3,8.0,9.0,88.9,0.0,5.0,5.0,8.0,0.0,0.0,3.0,2.0,24.0,-2.0,01/03/2024,Miami Heat,41.75,OKC @ BKN
Jarred Vanderbilt,15:32,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,-6.0,01/03/2024,Miami Heat,5.5,OKC @ BKN
Max Christie,28:22,5.0,12.0,41.7,2.0,9.0,22.2,2.0,2.0,100.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,14.0,-8.0,01/03/2024,Miami Heat,20.25,OKC @ BKN
Christian Wood,24:13,5.0,10.0,50.0,0.0,2.0,0.0,3.0,3.0,100.0,4.0,4.0,8.0,3.0,0.0,1.0,2.0,1.0,13.0,1.0,01/03/2024,Miami Heat,28.5,OKC @ BKN
Jalen Hood-Schifino,6:02,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,01/03/2024,Miami Heat,2.5,OKC @ BKN
Jaxson Hayes,0:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/03/2024,Miami Heat,0.0,OKC @ BKN
