,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Zach Plesac, 3.2,6,5,2,0,3,1,4.02,19,72,50,34,4,12,7,9,4,0,38,,,-0.395, 1.21,-0.19%, 0.98, -3.5,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
Enyel De Los Santos, 1.1,1,0,0,0,1,0,3.10,5,19,15,9,3,3,2,2,0,0,,2,0,0.102, 1.00, 0.05%, 0.82, 1.1,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
"Bryan Shaw, W (4-1)", 2 ,1,0,0,0,0,0,5.17,7,19,13,11,1,1,4,2,1,0,,0,0,0.116, 1.01, 0.06%, 0.82, 1.1,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
"Eli Morgan, H (8)", 1 ,0,0,0,0,1,0,2.83,3,11,8,4,2,2,1,1,0,0,,0,0,0.124, 1.60, 0.06%, 1.29, 0.5,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
"Trevor Stephan, S (2)", 1 ,0,0,0,0,2,0,2.80,3,13,10,3,5,2,0,1,1,0,,0,0,0.168, 2.17, 0.08%, 1.76, 0.5,77° F, Wind 11mph from Right to Left, Cloudy, No Precipitation.
